date,location,time,flock.no,scan.no,forag,roost,preen,mixed,f.beach,f.pool,f.sand,Prop.forag
18/02/16,park,17:38:00,1,1,14,5,0,single,,,,0.737
18/02/16,park,17:45:00,1,2,3,10,0,single,,,,0.231
18/02/16,park,18:05:00,2,1,9,20,0,single,,,,0.31
18/02/16,park,18:31:00,3,1,1,18,0,single,,,,0.053
18/02/16,park,18:36:00,3,2,3,0,9,single,,,,0.25
19/02/16,park,11:19:00,1,1,12,0,3,single,,,,0.8
19/02/16,park,11:21:00,2,1,9,0,0,single,,,,1
19/02/16,park,11:28:00,2,2,14,0,0,single,,,,1
19/02/16,park,12:20:00,3,1,6,9,0,single,,,,0.4
19/02/16,park,12:25:00,3,2,15,0,0,single,,,,1
19/02/16,park,13:23:00,4,1,28,10,22,single,,,,0.467
19/02/16,park,13:29:00,4,2,28,5,17,single,,,,0.56
19/02/16,park,13:28:00,4,3,7,18,21,single,,,,0.152
19/02/16,park,13:53:00,4,4,45,18,17,single,,,,0.563
19/02/16,park,13:59:00,4,5,41,15,12,single,,,,0.603
19/02/16,park,14:17:00,4,6,46,5,13,single,,,,0.719
19/02/16,park,14:41:00,5,1,11,0,0,single,,,,1
19/02/16,park,14:46:00,5,2,7,1,0,single,,,,0.875
19/02/16,park,14:51:00,5,3,14,0,0,single,,,,1
19/02/16,park,14:56:00,5,4,18,0,0,single,,,,1
19/02/16,park,15:01:00,5,5,28,0,1,single,,,,0.966
19/02/16,park,15:06:00,5,6,28,0,2,single,,,,0.933
20/02/16,north,10:00:00,1,1,8,60,34,single,,,,0.078
20/02/16,north,10:08:00,1,2,26,59,31,single,,,,0.224
20/02/16,north,10:20:00,1,3,17,42,29,single,,,,0.193
20/02/16,north,10:52:00,2,1,30,0,19,single,,,,0.612
20/02/16,north,10:57:00,2,2,21,0,28,single,,,,0.429
20/02/16,north,11:21:00,2,3,35,2,16,single,,,,0.66
20/02/16,north,11:58:00,3,1,44,9,32,single,,,,0.518
20/02/16,north,12:05:00,3,2,60,9,33,single,,,,0.588
20/02/16,north,12:10:00,3,3,62,11,29,single,,,,0.608
20/02/16,north,12:16:00,3,4,53,17,33,single,,,,0.515
20/02/16,north,12:22:00,3,5,67,12,47,single,,,,0.532
20/02/16,north,12:28:00,3,6,64,10,39,single,,,,0.566
20/02/16,north,12:35:00,3,7,57,8,39,single,,,,0.548
20/02/16,north,12:44:00,3,8,66,18,24,single,,,,0.611
20/02/16,north,12:51:00,3,9,104,6,10,single,,,,0.867
20/02/16,north,12:57:00,3,10,82,16,42,single,,,,0.586
21/02/16,park,09:23:00,1,1,29,7,16,single,,,,0.558
21/02/16,park,09:28:00,1,2,45,13,13,single,,,,0.634
21/02/16,park,09:33:00,1,3,79,9,4,single,,,,0.859
21/02/16,park,10:05:00,2,1,23,0,19,single,,,,0.548
21/02/16,park,10:32:00,3,1,76,7,2,single,,,,0.894
21/02/16,park,10:35:00,4,1,69,16,18,single,,,,0.67
21/02/16,park,10:37:00,3,2,77,4,5,single,,,,0.895
21/02/16,park,10:40:00,4,2,91,5,25,single,,,,0.752
21/02/16,park,10:42:00,3,3,78,2,7,single,,,,0.897
21/02/16,park,10:45:00,4,3,77,7,17,single,,,,0.762
23/02/16,park,15:25:00,1,1,3,0,8,mixed,,,,0.273
23/02/16,park,15:26:00,2,1,25,0,0,mixed,,,,1
23/02/16,park,15:20:00,1,2,3,3,3,mixed,,,,0.333
23/02/16,park,16:02:00,3,1,11,7,15,mixed,,,,0.333
23/02/16,park,16:07:00,3,2,7,0,0,mixed,,,,1
23/02/16,park,16:17:00,3,3,17,0,0,mixed,,,,1
23/02/16,park,16:23:00,3,4,9,1,0,mixed,,,,0.9
23/02/16,park,16:28:00,3,5,0,0,2,mixed,,,,0
23/02/16,park,17:08:00,4,1,91,0,19,single,,,,0.827
23/02/16,park,17:30:00,5,2,43,0,0,single,,,,1
23/02/16,park,17:35:00,5,3,41,0,9,single,,,,0.82
23/02/16,park,17:40:00,5,4,52,0,5,single,,,,0.912
23/02/16,park,17:45:00,5,5,60,0,0,mixed,,,,1
23/02/16,park,17:50:00,5,6,37,2,17,mixed,,,,0.661
23/02/16,park,17:55:00,5,7,35,2,24,mixed,,,,0.574
23/02/16,park,18:00:00,5,8,37,3,28,mixed,,,,0.544
23/02/16,park,18:05:00,5,9,28,1,59,mixed,,,,0.318
23/02/16,park,18:10:00,5,10,37,0,8,single,,,,0.822
23/02/16,park,18:15:00,5,11,24,0,5,single,,,,0.828
23/02/16,park,18:20:00,5,12,38,0,0,single,,,,1
23/02/16,park,18:42:00,6,1,51,5,13,single,,,,0.739
23/02/16,park,18:43:00,7,1,11,0,0,single,,,,1
23/02/16,park,18:47:00,6,2,16,14,1,single,,,,0.516
23/02/16,park,18:49:00,7,2,63,10,33,single,,,,0.594
26/02/16,park,09:50:00,1,1,0,1,4,single,,,,0
26/02/16,park,09:56:00,2,1,4,2,17,single,,,,0.174
26/02/16,park,10:04:00,2,2,16,1,10,single,,,,0.593
26/02/16,park,10:59:00,3,1,7,0,0,single,,,,1
26/02/16,park,11:58:00,4,1,4,1,5,single,,,,0.4
26/02/16,park,12:04:00,5,1,20,0,7,single,20,0,0,0.741
26/02/16,park,12:09:00,5,2,25,0,0,single,,,,1
26/02/16,park,12:12:00,6,1,10,0,0,single,,,,1
26/02/16,park,12:14:00,7,1,12,0,6,single,,,,0.667
26/02/16,park,12:20:00,8,1,34,0,4,mixed,,,,0.895
26/02/16,park,12:36:00,9,1,45,0,0,single,20,25,0,1
26/02/16,park,16:26:00,10,1,45,0,2,single,6,0,39,0.957
26/02/16,park,16:30:00,11,1,12,3,6,single,0,0,12,0.571
29/02/16,north,11:29:00,1,1,29,0,1,mixed,29,0,0,0.967
29/02/16,north,15:22:00,2,1,2,0,0,mixed,2,0,0,1
29/02/16,north,15:27:00,2,2,2,0,0,mixed,2,0,0,1
29/02/16,north,15:32:00,2,3,2,0,0,mixed,2,0,0,1
