date,location,time,flock.no,scan.no,forag,roost,preen,mixed,f.beach,f.pool,f.sand,Prop.forag
22/02/16,north,09:57:00,1,1,15,0,2,single,,,,0.882
22/02/16,north,10:02:00,1,2,3,6,5,single,,,,0.214
22/02/16,north,10:07:00,1,3,11,0,2,single,,,,0.846
22/02/16,north,10:08:00,2,1,3,0,0,single,,,,1
22/02/16,north,10:12:00,1,4,14,2,1,single,,,,0.824
22/02/16,north,10:13:00,2,2,3,0,0,single,,,,1
22/02/16,north,10:17:00,1,5,18,0,0,single,,,,1
22/02/16,north,10:18:00,2,3,2,0,0,single,,,,1
22/02/16,north,10:23:00,1,6,20,0,0,single,,,,1
22/02/16,north,10:39:00,3,1,52,5,3,single,,,,0.867
22/02/16,north,10:44:00,3,2,30,0,2,single,,,,0.938
22/02/16,north,10:50:00,3,3,30,4,0,single,,,,0.882
22/02/16,north,11:15:00,4,1,7,0,0,single,,,,1
22/02/16,north,11:20:00,4,2,7,0,0,single,,,,1
22/02/16,north,15:22:00,5,1,35,1,2,single,,,,0.921
22/02/16,north,15:56:00,6,1,16,6,0,single,,,,0.727
22/02/16,north,16:02:00,6,2,6,1,2,single,,,,0.667
22/02/16,north,16:04:00,7,1,6,0,0,single,,,,1
22/02/16,north,16:07:00,6,3,7,3,0,single,,,,0.7
22/02/16,north,16:09:00,7,2,0,2,4,single,,,,0
22/02/16,north,16:12:00,6,4,0,1,10,single,,,,0
22/02/16,north,16:14:00,7,3,6,0,0,single,,,,1
22/02/16,north,16:19:00,7,4,0,2,4,single,,,,0
23/02/16,park,15:18:00,1,1,13,7,16,mixed,,,,0.361
23/02/16,park,15:23:00,1,2,78,8,13,mixed,,,,0.788
23/02/16,park,15:27:00,2,1,8,0,0,mixed,,,,1
23/02/16,park,15:29:00,1,3,12,2,14,mixed,,,,0.429
23/02/16,park,16:01:00,3,1,16,2,1,mixed,,,,0.842
23/02/16,park,16:06:00,3,2,18,0,27,mixed,,,,0.4
23/02/16,park,16:11:00,3,3,29,0,0,mixed,,,,1
23/02/16,park,16:16:00,3,4,26,0,5,mixed,,,,0.839
23/02/16,park,16:22:00,3,5,25,0,0,mixed,,,,1
23/02/16,park,16:27:00,3,6,15,1,4,mixed,,,,0.75
23/02/16,park,16:32:00,3,7,15,0,1,mixed,,,,0.938
23/02/16,park,16:37:00,3,8,21,1,7,mixed,,,,0.724
23/02/16,park,17:46:00,4,1,2,0,0,mixed,,,,1
23/02/16,park,17:57:00,4,2,2,0,0,mixed,,,,1
26/02/16,park,11:56:00,1,1,3,0,0,single,3,0,0,1
26/02/16,park,12:21:00,2,1,24,13,15,mixed,1,17,5,0.462
26/02/16,park,16:25:00,3,1,22,0,0,single,0,14,8,1
26/02/16,park,16:25:00,4,1,14,0,0,single,0,0,14,1
29/02/16,north,09:42:00,1,1,7,0,0,single,7,0,0,1
29/02/16,north,11:04:00,2,1,26,0,0,single,26,0,0,1
29/02/16,north,11:29:00,3,1,21,0,0,mixed,21,0,0,1
29/02/16,north,11:55:00,4,1,4,0,0,single,4,0,0,1
29/02/16,north,12:02:00,5,1,13,0,0,single,11,0,2,1
29/02/16,north,14:41:00,6,1,19,0,13,single,6,0,13,0.594
29/02/16,north,15:02:00,6,2,26,4,4,single,0,4,22,0.765
29/02/16,north,15:07:00,6,3,26,3,5,single,0,3,23,0.765
29/02/16,north,15:12:00,6,4,,,,single,,8,19,#DIV/0!
29/02/16,north,15:22:00,7,1,13,0,0,mixed,13,0,0,1
29/02/16,north,15:27:00,7,2,15,0,0,mixed,15,0,0,1
29/02/16,north,15:32:00,7,3,13,0,0,mixed,13,0,0,1
29/02/16,north,15:38:00,7,4,8,3,3,mixed,8,0,0,0.571
29/02/16,north,15:50:00,7,5,7,0,0,single,7,0,0,1
29/02/16,north,15:56:00,7,6,4,0,0,single,4,0,0,1
29/02/16,north,16:16:00,7,7,24,0,0,single,17,0,7,1
29/02/16,north,16:36:00,8,1,14,0,0,single,14,0,0,1
29/02/16,north,16:45:00,9,1,21,0,0,mixed,21,0,0,1
29/02/16,north,16:51:00,9,2,6,0,1,single,4,0,2,0.857
29/02/16,north,16:59:00,10,1,3,0,0,mixed,3,0,0,1
29/02/16,north,17:01:00,11,1,16,0,4,mixed,16,0,0,0.8
29/02/16,north,17:04:00,10,2,2,0,0,mixed,2,0,0,1
29/02/16,north,17:06:00,11,2,30,0,0,mixed,30,0,0,1
29/02/16,north,17:09:00,10,3,10,0,0,mixed,10,0,0,1
29/02/16,north,17:11:00,11,3,13,0,0,mixed,13,0,0,1
29/02/16,north,17:14:00,10,4,3,0,0,mixed,3,0,0,1
29/02/16,north,17:16:00,11,4,12,0,0,mixed,12,0,0,1
29/02/16,north,17:28:00,12,1,10,0,11,mixed,0,0,10,0.476
29/02/16,north,17:36:00,12,2,20,0,0,mixed,4,0,16,1
29/02/16,north,17:41:00,12,3,7,0,2,mixed,7,0,0,0.778
29/02/16,north,17:42:00,13,1,2,0,0,mixed,2,0,0,1
29/02/16,north,17:48:00,12,4,5,2,3,mixed,5,0,0,0.5
29/02/16,north,17:48:00,14,1,18,0,0,single,0,0,18,1
29/02/16,north,17:53:00,12,5,8,2,2,mixed,4,2,2,0.667
29/02/16,north,17:58:00,12,6,3,1,5,mixed,0,0,3,0.333
29/02/16,north,18:03:00,12,7,5,1,2,mixed,0,0,5,0.625
29/02/16,north,18:08:00,12,8,14,1,2,mixed,14,0,0,0.824
29/02/16,north,18:10:00,15,1,24,0,0,mixed,24,0,0,1
29/02/16,north,18:13:00,12,9,3,1,2,mixed,3,0,0,0.5
29/02/16,north,18:20:00,12,10,3,0,2,mixed,3,0,0,0.6
01/03/16,park,10:46:00,1,1,19,0,1,mixed,17,0,2,0.95
01/03/16,park,15:19:00,2,1,7,0,0,mixed,7,0,0,1
01/03/16,park,15:35:00,2,2,15,0,4,mixed,15,0,0,0.789
01/03/16,park,15:45:00,2,3,12,0,5,mixed,4,8,0,0.706
01/03/16,park,15:50:00,2,4,21,0,0,mixed,21,0,0,1
01/03/16,park,16:16:00,3,1,2,0,0,mixed,0,0,2,1
01/03/16,park,16:22:00,4,1,9,1,2,mixed,9,0,0,0.75
01/03/16,park,16:27:00,4,2,12,0,0,mixed,12,0,0,1
01/03/16,park,16:32:00,4,3,15,0,0,mixed,15,0,0,1
01/03/16,park,17:10:00,5,1,14,0,0,mixed,1,0,13,1
01/03/16,park,17:24:00,5,2,3,0,0,mixed,3,0,0,1
01/03/16,park,17:33:00,6,1,10,0,0,mixed,10,0,0,1
01/03/16,park,17:51:00,7,1,19,0,0,mixed,17,2,1,1
01/03/16,park,17:57:00,7,2,15,0,0,mixed,15,0,0,1
01/03/16,park,18:04:00,7,3,12,0,0,mixed,12,0,0,1
01/03/16,park,18:12:00,7,4,12,0,0,mixed,12,0,0,1
01/03/16,park,18:46:00,8,1,3,0,0,single,3,0,0,1
01/03/16,park,18:52:00,8,2,3,0,0,single,3,0,0,1
05/03/16,park,14:08:00,1,1,10,0,0,single,10,0,0,1
05/03/16,park,14:13:00,1,2,10,0,0,single,10,0,0,1
05/03/16,park,14:19:00,1,3,7,0,0,single,7,0,0,1
05/03/16,park,14:26:00,1,4,28,0,7,mixed,28,0,0,0.8
05/03/16,park,14:32:00,1,5,10,0,0,single,10,0,0,1
05/03/16,park,14:37:00,1,6,9,0,0,single,9,0,0,1
05/03/16,park,14:47:00,1,7,11,0,0,single,11,0,0,1
05/03/16,park,14:54:00,1,8,7,0,0,single,7,0,0,1
05/03/16,park,14:59:00,1,9,15,1,0,mixed,15,0,0,0.938
05/03/16,park,15:03:00,2,1,25,0,0,mixed,25,0,0,1
05/03/16,park,15:05:00,1,10,10,0,0,single,10,0,0,1
05/03/16,park,15:13:00,3,1,14,0,0,mixed,14,0,0,1
05/03/16,park,15:19:00,3,2,18,1,0,mixed,18,0,0,0.947
05/03/16,park,15:22:00,4,1,25,4,0,mixed,18,4,3,0.862
05/03/16,park,15:29:00,4,3,52,3,9,mixed,45,0,7,0.813
05/03/16,park,15:35:00,4,4,26,0,10,mixed,,,,0.722
05/03/16,park,15:47:00,5,1,8,3,11,mixed,0,8,0,0.364
05/03/16,park,15:51:00,6,1,13,0,0,single,13,0,0,1
05/03/16,park,15:56:00,7,1,17,0,1,single,17,0,0,0.944
05/03/16,park,15:58:00,8,1,6,0,0,single,0,0,6,1
05/03/16,park,16:03:00,9,1,7,0,2,single,6,1,0,0.778
05/03/16,park,16:08:00,9,2,16,0,0,single,16,0,0,1
05/03/16,park,16:20:00,9,3,17,0,0,mixed,17,0,0,1
05/03/16,park,16:32:00,10,1,91,0,0,mixed,91,0,0,1
05/03/16,park,16:39:00,10,2,48,8,23,single,21,0,27,0.608
05/03/16,park,16:47:00,10,3,69,0,18,mixed,44,0,25,0.793
05/03/16,park,16:59:00,10,4,24,0,0,mixed,24,0,0,1
