date,location,time,vehicle,person,dog,aircraft,unknown,suggest.unknown
22/02/16,north,06:16:00,0,3,1,0,1,
21/02/16,park,02:00:00,1,2,0,1,1,
23/02/16,park,04:47:00,3,0,0,0,0,
29/02/16,north,06:33:00,3,3,0,0,1,rodent
01/03/16,park,06:11:00,9,1,2,0,2,1x plane (heard not seen)
05/03/16,park,03:15:00,4,3,2,0,0,
06/03/16,north,04:05:00,2,3,0,0,0,
07/03/16,north,04:12:00,1,4,0,0,0,
08/03/16,park,06:11:00,0,0,0,0,0,beyond turnoff for trilha do talhamar
09/03/16,north,03:14:00,1,1,0,0,0,
16/03/16,park,08:13:00,26,1,1,0,0,
17/03/16,north,05:13:00,9,2,0,0,0,
18/03/16,north,03:17:00,7,0,0,0,0,
