date,site,paces,method,direction,person
19/03/16,park,27,walk,n,jn
19/03/16,park,41,fly,s,jn
19/03/16,park,22,fly,s,jn
19/03/16,park,22,fly,n,jn
19/03/16,park,33,walk,n,jn
19/03/16,park,35,walk,n,jn
19/03/16,park,27,fly,s,jn
19/03/16,park,49,fly,s,jn
19/03/16,park,41,fly,s,jn
19/03/16,park,45,fly,n,jn
19/03/16,park,32,fly,n,jn
19/03/16,park,36,fly,n,jn
19/03/16,park,18,fly,n,jn
19/03/16,park,30,walk,n,jn
19/03/16,park,44,fly,n,jn
19/03/16,park,34,fly,s,jn
19/03/16,park,34,fly,s,jn
19/03/16,park,34,walk,s,jn
19/03/16,park,27,walk,n,jn
19/03/16,park,12,fly,n,jn
19/03/16,park,60,walk,s,jn
19/03/16,park,43,walk,s,jn
19/03/16,park,22,fly,s,jn
19/03/16,park,36,fly,n,jn
19/03/16,park,42,walk,s,jn
19/03/16,park,25,fly,s,jn
19/03/16,park,32,fly,n,jn
19/03/16,park,32,fly,n,jn
19/03/16,park,34,fly,n,jn
19/03/16,park,38,fly,n,jn
19/03/16,park,43,walk,n,jn
19/03/16,park,12,fly,n,jn
19/03/16,park,25,walk,n,jn
19/03/16,park,37,walk,n,jn
19/03/16,park,12,fly,n,jn
19/03/16,park,42,fly,s,mj
19/03/16,park,39,walk,n,jn
19/03/16,park,27,fly,s,mj
19/03/16,north,10,fly,n,jn
19/03/16,north,52,fly,n,jn
19/03/16,north,24,fly,n,jn
19/03/16,north,16,fly,n,jn
19/03/16,north,23,fly,s,mj
19/03/16,north,32,walk,n,jn
19/03/16,north,30,fly,n,jn
19/03/16,north,28,fly,s,mj
19/03/16,north,25,fly,s,jn
19/03/16,north,25,fly,n,jn
19/03/16,north,28,fly,n,jn
19/03/16,north,47,fly,s,mj
19/03/16,north,23,fly,n,jn
19/03/16,north,37,fly,n,jn
19/03/16,north,46,fly,n,jn
19/03/16,north,31,fly,n,jn
19/03/16,north,17,fly,n,jn
19/03/16,north,32,fly,n,jn
19/03/16,north,22,fly,n,jn
19/03/16,north,31,fly,n,jn
19/03/16,north,31,fly,s,mj
19/03/16,north,49,fly,n,jn
19/03/16,north,32,walk,n,jn
19/03/16,north,34,fly,n,jn
28/03/16,park,15,walk,n,jn
