"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"PAPAG.05i",0.202655994140304,0.184968408478171,0.24059054340912,0.218755716154058,0.195391812202008,0.219693796865353,0.211133649350456,0.172441680475159,0.220837684939492,0.196326450067415,0.211455096295768,0.205258316856229,0.228515630939982,0.193975264332586,0.188152634630173,0.208929616698006,0.200643798898891,0.205360576590868,0.200675886234222,0.19984220241604
"PANTA.05i",0.176157893552053,0.194980464491354,0.20538508022634,0.185913868491277,0.20378375570125,0.179658715262161,0.196987698381896,0.19855106811987,0.20923151016458,0.174998162608162,0.17900886831011,0.147072059691202,0.207106086891961,0.216465762207645,0.193154551345976,0.218411838215121,0.20113127072462,0.202822592367518,0.206687645727616,0.206268938972286
"CAIEA.05i",0.203394321009754,0.206971079498223,0.213056842686502,0.224461505411851,0.180163066425776,0.214425095685757,0.230408480551793,0.22309549794935,0.21925890542982,0.220835735567625,0.210321305383633,0.21636245700923,0.221247396027136,0.201908426884637,0.225480585473568,0.202312399691235,0.197297838796258,0.219256985809955,0.225363573683415,0.223569697877782
"FUNDO.05i",0.186770910916025,0.228923234160045,0.202948474409375,0.144366693680939,0.190873550011473,0.207556921145922,0.172023818235427,0.179141529456791,0.216862893740817,0.19270893831246,0.212772123837751,0.179073999806669,0.199222976101041,0.187090158278382,0.230787114700237,0.208587912310775,0.18727109149969,0.211957938016748,0.167794375540227,0.186056140268615
"RINCO.05i",0.19810578943216,0.217708610858789,0.178466754076008,0.194964989753305,0.214866690657632,0.215554345047041,0.219547480503103,0.217739712280656,0.21916737631774,0.20948135836869,0.187505803405351,0.226763586256941,0.22161529258323,0.201611508125477,0.212648918517805,0.184137241284762,0.214550348318771,0.205823371551787,0.214127011201374,0.210301419762196
"ALEMO.05i",0.181344763510552,0.157201770864339,0.224638292450709,0.13939503510411,0.109562363753851,0,0.177285997030394,0.179621481074158,0.13069595303768,0.152725805068799,0,0.150519985950829,0.167811549197076,0.167908413303699,0.199606482079753,0.16871262834865,0.163304128577828,0.154397249281653,0,0.159417765091228
"DOURO.05i",0.223787092220331,0.20904010571015,0.220950470275073,0.189080500799758,0.221392162169453,0.203209831929046,0.205740440549694,0.214685322291931,0.225194217826283,0.224282328289341,0.194763044413407,0.198065858327908,0.230432970285169,0.231945945842594,0.222181736057275,0.192913955670041,0.205301670702091,0.226991254444069,0.228327793189203,0.213574488575375
"PAULO.05i",0.203982265963756,0.197433657620756,0.209851431323376,0.166253535510265,0.20947630154182,0.204983524985407,0.202488415654549,0.20280038546398,0.223672980398845,0.183065708460456,0.2335158363658,0.167548738371087,0.216364746358603,0.172889374434778,0.184997765568424,0.167895875727793,0.205845690630831,0.222567273428725,0.227684661320165,0.155149263693841
"CANAL.05i",0.204757701845842,0.197580309030049,0.219750311070878,0.211799178373268,0.201452247955373,0.181799317397069,0.226508505187435,0.205114920449612,0.216512119148673,0.166893709511079,0.190670233105389,0.196634708875669,0.23071475372058,0.20877328415737,0.220884968207018,0.187164497574301,0.179822232129121,0.184489125330651,0.198820895209681,0.211959091091442
"Pont1.05i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pont2.05i",0.197854635431019,0.214010952368477,0.233279890253597,0.153800019775046,0.160332767462048,0.181915755235508,0.204980119588183,0.184792425484848,0.195756074512987,0.234439374480006,0.196779620647534,0.190988880614487,0.184538194648395,0.196546305093888,0.22158559624256,0.197939185815016,0.158075826376914,0.184072197307207,0.165928008017955,0.205892599840237
"Pont15.05i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pont20.05i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JDIAS.05i",0.167371598954962,0.220214833003137,0.196646515431233,0.225914317834796,0.214263209769301,0.203540472080328,0.178423034686912,0.220861253020224,0.190373449823004,0.199361440366502,0.197544796633705,0.234116820198203,0.157397175210754,0.187862190081257,0.15326140052386,0.197633485741912,0.20742646245896,0.191576199651617,0.23468390959505,0.157620945900618
"RONDA.05i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNITO.05i",0.191217003810454,0.20554367800331,0.18294690650323,0.122183231937042,0.180931260633735,0.168672613667831,0.14926594422335,0.199703483514002,0.210962235371903,0.170014248922394,0.226602221763468,0.216410672173816,0.199988754971417,0.161822508096458,0.191151349115195,0.171513239830934,0.179072367511671,0.172273526629947,0.174977543367881,0.201862267898228
"SAIDA.05i",0.191019770773792,0.191111485021165,0.163257811338885,0.215533400221605,0.197505042035507,0.16485383391812,0.157354449327124,0.209734136781953,0.167525830080362,0.168300931657032,0.172296389587483,0.196969011922117,0.210689476392809,0.237101497348183,0.20938152710129,0.189797048011332,0.147610948227718,0.192524206535903,0.161645578047222,0.182947767311781
"SIMAO.05i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIGUA.05i",0.207253545780738,0.183531838338473,0.185881090029558,0.192144224310924,0.213379741681825,0.226364941258978,0.192001930748972,0.227308079364154,0.18549887228929,0.18908565123399,0.197772239678688,0.185316842847756,0.207695956183669,0.194501312868478,0.224453526125129,0.222440669035472,0.207456307492647,0.199464317803899,0.204220928546121,0.21989766538898
"PAPAG.06i",0.181755015516346,0.223610837584404,0.173370199135083,0.235806634313328,0.19989580616165,0.22828602730222,0.190354403483887,0.223198453396844,0.186889508084753,0.19853844341522,0.227941545378147,0.199576770897461,0.186930824919076,0.217727433244778,0.200521546701601,0.2145803078612,0.179499173901895,0.179869313393755,0.201451320510232,0.212745824381488
"PANTA.06i",0.201204280587018,0.212958560178203,0.210216915277266,0.191659153012718,0.219360170033285,0.213966836494853,0.171940281236471,0.216907630158827,0.204960918425687,0.215202356922952,0.206245037186585,0.210932501003796,0.206587068631624,0.208495273699844,0.217413415945975,0.216358858712624,0.183752088565316,0.183540003085361,0.222814129591047,0.201462869358196
"CAIEA.06i",0.222840002659852,0.189301653223255,0.186479235570055,0.208840307498477,0.216321022240103,0.193502122297188,0.193346295692259,0.208495621011554,0.208526129969742,0.198436883990379,0.229367874120195,0.208552162633369,0.190585005523224,0.216127214409482,0.21834110620865,0.209951995195624,0.202553881941481,0.214567076937681,0.192059219952298,0.210602944658829
"FUNDO.06i",0.218488656632888,0.215397456623464,0.214733764171224,0.194709804597328,0.208256159471701,0.213920873008918,0.20696641224143,0.218512214104974,0.218107331436374,0.223304318856033,0.187843209441132,0.219181345805462,0.207903116514699,0.221362110739106,0.213926692696263,0.212362509233204,0.210396199531567,0.192885263977252,0.20256051146248,0.208423612910612
"RINCO.06i",0.21983408859517,0.197480400067257,0.215266522846447,0.221296273975754,0.184973721372677,0.20414415105722,0.201171310204937,0.221737420697165,0.209338605177194,0.191871706966944,0.20541404271096,0.215035219900394,0.205655363750022,0.20439145630514,0.21177979735534,0.209895379054018,0.212155632176325,0.190761242356792,0.19826142782244,0.187785109924264
"ALEMO.06i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CANAL.06i",0.217911649713814,0.222853024957322,0.215344960779456,0.223144293525088,0.213516133589557,0.197574102421725,0.209459460721072,0.199546112962773,0.213337785528613,0.220572853142984,0.216246297418519,0.218646649887427,0.226956982992394,0.228131532994324,0.226638991858191,0.216293602437377,0.193236969262777,0.229199718676078,0.206322281600576,0.208209946334492
"BABAL.06i",0.229465744201406,0.212141454909137,0.232668517733812,0.204299003954684,0.189016980084877,0.225833106812684,0.221958541969952,0.206857170678808,0.172882424694528,0.213000075413089,0.226492989061362,0.211213738034936,0.231919410059405,0.204863185499613,0.207988486759847,0.211601793084603,0.192360265054342,0.218706259960126,0.207139786722341,0.204699858783121
"LMEIO.06i",0.203045954056541,0.229342103651139,0.201232554189716,0.20684411769994,0.218258986811456,0.228309291047749,0.205517453709539,0.21142310082849,0.205174617303781,0.201944750426304,0.207948425485108,0.209443606549102,0.209607013889102,0.218602850622655,0.213835637399981,0.215487779959351,0.217218477717535,0.21068370408846,0.19330196879621,0.208316590717941
"TALHA.06i",0.181228541488479,0.188181265153882,0.22570905718386,0.203662946556362,0.198526361548905,0.237009374668121,0.203805746103401,0.213443656803878,0.183461038999235,0.228293369685,0.213951280026539,0.200922893759418,0.202027275263557,0.192737502794976,0.200272003882528,0.22007512461667,0.203576169274934,0.241372033940962,0.177030557362645,0.183835413097354
"BARRA.06i",0.135354769262173,0.183825985643359,0.21010968188875,0.139875288215654,0.132983968460205,0.19201031024313,0.17771565632672,0.139997112303762,0.0902162637154395,0.175687095250925,0.0581830445798437,0.0847139949142695,0.173558046627724,0.223411125305389,0.130081486990217,0,0,0.168292906988511,0.120863504216547,0.18455018259728
"PPRAI.06i",0.202330292304816,0.205798059389562,0.217741538304802,0.214388916357833,0.190514274278267,0.216664790090229,0.216654556563751,0.203863049506421,0.204298644180029,0.204842996064107,0.215184635935528,0.200504993645181,0.20131091890308,0.205996489837378,0.227597231524052,0.215174978198446,0.21566737202783,0.199824987466833,0.200651965784677,0.210123866932524
"FIGUA.06i",0.221850393033266,0.218144242193627,0.211323057791493,0.215795975207479,0.227410769835681,0.203821701608101,0.19736320382776,0.219163886083069,0.199162936775931,0.213807997820172,0.202377591853947,0.216884972019348,0.21496301268407,0.22524429954167,0.235166797178441,0.229909629160954,0.240914973149006,0.179835339196128,0.22161151737968,0.203748202355853
"PAPAG.06v",0.242074706012044,0.248341356287237,0.231821234470126,0.224968146794304,0.200190217864451,0.209486275981263,0.230833448225133,0.227239638849379,0.182079342559997,0.202460156237487,0.223021144464152,0.182785378896556,0.241992536764347,0.250507205575014,0.20800907575687,0.216720906951954,0.19580529877972,0.247452287913057,0.215805502908773,0.231403822387469
"PANTA.06v",0.223019606022313,0.264655071629942,0.209022505495584,0.241797427323534,0.214112965010938,0.234020949145935,0.192389872420382,0.206182627851054,0.198205485879651,0.230749656299479,0.221962855677682,0.209728692866059,0.197231589077459,0.212655763189404,0.21464792021572,0.201987302759091,0.229150529404108,0.205004298715139,0.188206688017149,0.226999768705752
"CAIEA.06v",0.205119803218152,0.223694948207998,0.219572891427866,0.22548075634914,0.22656800465365,0.2010089369318,0.191497993979564,0.214675702983674,0.226929592242121,0.232679285908585,0.207335658153378,0.232389680881863,0.215339293420608,0.22487577359184,0.220006178685456,0.225888793637842,0.230505123694239,0.22661396702134,0.220511607268599,0.211628586703177
"FUNDO.06v",0.224522612946003,0.216203458682274,0.208985669462062,0.219041056450118,0.217952081307793,0.231407836776447,0.221102192404304,0.215997530838021,0.233040654946545,0.236326193421563,0.22677869853372,0.207199689120825,0.233155208574506,0.225878378527695,0.206869797395619,0.23164251020585,0.222699325327014,0.225851209909795,0.225497503073334,0.21014420241788
"RINCO.06v",0.216840909941188,0.233116121261831,0.231004065192342,0.226126431066187,0.224044333519509,0.222431092634851,0.220703821691546,0.212816428374872,0.207460480869831,0.233691333577981,0.205096646465714,0.218784036663461,0.241308484198644,0.231365096273672,0.220678334555714,0.218839617271607,0.215167358641629,0.228616298641749,0.219661026506336,0.225068070252832
"ALEMO.06v",0.120784807369005,0.191658487335222,0.173409841560156,0.24454315111791,0.199179293390472,0.153478175459575,0.202698247092116,0.206245205904976,0.166576162844793,0.177959655671495,0.178564221330441,0.159559720891403,0.177417453424684,0.204239156529661,0.219550884527711,0.215611144362357,0.180372017550585,0.19556980604571,0.16586429910367,0.186614372629916
"DOURO.06v",0.227468870517231,0.234983581489867,0.20508409923651,0.186677689132483,0.235096418362068,0.240342343817982,0.233855015783909,0.227112376478893,0.228147332898865,0.231716088455129,0.217538068157086,0.2151149706389,0.204844528691942,0.217354831990782,0.224240371384505,0.220067184084336,0.222285519033585,0.217237897963358,0.224428233063633,0.224635306000613
"PAULO.06v",0.217351779904382,0.21698746791834,0.227824687583094,0.208827332513684,0.209650682128483,0.240857508929416,0.222147145912603,0.24126201260362,0.219395095373466,0.211261421268824,0.226820407942045,0.203488448102161,0.220306525685788,0.210765307488055,0.224919301604495,0.210636715542248,0.214977290178765,0.205163904940274,0.195726994103857,0.221197940790649
"CANAL.06v",0.225593871516216,0.222892643912393,0.195964746467788,0.21800161402323,0.225970809609433,0.219552775279003,0.209631708299199,0.21751194007176,0.190903648374225,0.228487304961298,0.234256548294249,0.230735913562854,0.243658847407073,0.230534978864474,0.208305621478851,0.197621956302077,0.220112266761249,0.222574077039901,0.209458414156671,0.18704044840211
"BABAL.06v",0.139821444478237,0.192526535337076,0.221788728825759,0.207394486072477,0.169709485115678,0.195319770324453,0.204004488183035,0.187227067195065,0.116107590652406,0.121517011717427,0.162818061520199,0.208161311074938,0.14626566405066,0.186586859252737,0.232866677641137,0.232429253398012,0.21333317665326,0.186992893512423,0.124766612588408,0.208596631084106
"TALHA.06v",0.196735685733659,0.217042127627399,0.209129171884016,0.212893752160731,0.238115394226513,0.204280539662062,0.229105290540232,0.221306706644193,0.194833931786623,0.22974024882115,0.239029854047328,0.227863538400252,0.236666813994105,0.216484708774771,0.212087153944815,0.235666157452575,0.205762788109348,0.212477578454279,0.232082731228295,0.247418562882793
"BARRA.06v",0.19882019725427,0.215433494094841,0.199645365483278,0.201517509633779,0.237925599406575,0.229979997888223,0.231156620412229,0.220472784238853,0.228047489392158,0.228974615148302,0.216131681075205,0.221431195719896,0.209547075884374,0.229633693612988,0.224446674581698,0.203193300998032,0.232904242930394,0.22770885139242,0.217478730976871,0.213409973567995
"PPRAI.06v",0.210716009955549,0.210709623014855,0.200339556181261,0.229547150880885,0.206631708130424,0.193498472438922,0.189784512132191,0.214930370016651,0.215173927322832,0.224455209851402,0.218494937726117,0.236636876104358,0.214585186357772,0.240485812320722,0.231574897706789,0.22342078688506,0.239487365744401,0.218448032835472,0.22838365350144,0.210500456491866
"VEANA.06v",0.231733641166356,0.203894888777477,0.200252361730294,0.200971590248283,0.193294597798621,0.20435899784896,0.188267553039797,0.197596348796288,0.229589783230795,0.221710278351985,0.218484037944036,0.215241046512311,0.187423864907218,0.244086337719466,0.219890367940086,0.237696571808333,0.21703888175017,0.207141853776685,0.189965090101754,0.217076857670733
"PJOAO.06v",0.200973261372718,0.185084213187914,0.178710242041761,0.175703701419233,0.195454956674353,0.193907127924616,0,0,0.153381152194145,0.0959195970549958,0.237084716980301,0.175668156717404,0,0,0.238296945698255,0.201103827129906,0.212651592106297,0.124837106729381,0.150907477767374,0.0976380355142433
"PANTA.07i",0.207694542118629,0.213660293178323,0.207672862035429,0.226975562956238,0.184152928988149,0.20075314670638,0.225522907659352,0.214555266008766,0.203127978134032,0.195672990123335,0.194585621190815,0.216933017478063,0.232182666229053,0.182412376009104,0.202463745852916,0.218499811099603,0.221549263356784,0.215812303221301,0.193822657351172,0.202826697900665
"FUNDO.07i",0.214882573817763,0.236517142423629,0.201062187355353,0.194624034062144,0.211489215587746,0.219624502593558,0.208362792634273,0.195801174088708,0.220973759104217,0.194486981626285,0.172722451109163,0.221167162430681,0.210644863983456,0.213445473323575,0.212559836276686,0.210214716892796,0.223625871814977,0.205177586270565,0.219095410471867,0.197110737575145
"LMEIO.07i",0.210499613723663,0.21688778266362,0.202895802059472,0.212476534899428,0.210623697932697,0.208004472146471,0.205415652090644,0.20658743937816,0.228330512897443,0.19840948532894,0.206104987543933,0.216078716778161,0.22690635183804,0.196649182545937,0.219063494996045,0.223007639142377,0.202137122057891,0.209963160545742,0.220965409984073,0.226029252009357
