"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"PAPAG.05i",0.745156422946681,0.702063898814646,0.843514372373773,0.786800180564511,0.765573854604193,0.800575265887957,0.713693932490804,0.681407013175109,0.806838860109692,0.770617556382575,0.861454893651962,0.810259559691325,0.823659811756352,0.777876465986738,0.711821888580549,0.837889086158262,0.775947143319645,0.790669882657777,0.715151127545357,0.659054732767475
"PANTA.05i",0.877541119221367,0.767214961563697,0.771032349567581,0.837381448887251,0.772181070529478,0.743905907426419,0.699664461990187,0.764742906494767,0.846368523715329,0.836438035276134,0.801488953662846,0.855201892440482,0.708796926628591,0.777656655463464,0.835294427650897,0.776809070903,0.808583608789535,0.88296592781642,0.801162069745697,0.793006538915287
"CAIEA.05i",0.805593891515299,0.762848105480633,0.809052629863505,0.765101718323817,0.765234260428339,0.795137226226811,0.847307041273979,0.789110294247423,0.786383527209268,0.807625711072311,0.793181191435562,0.73696045507074,0.751532304130853,0.788402498928674,0.832229718721412,0.837504695792531,0.748888305719329,0.807341586062281,0.729457159739139,0.812892647022072
"FUNDO.05i",0.680216938180679,0.829094252301714,0.770942288821516,0.721995060480079,0.804266643157374,0.763425044364477,0.763938989237533,0.787518142866006,0.774606415349872,0.836515810171343,0.755910287471283,0.734988764371351,0.72704038399027,0.679239156866861,0.754218694257732,0.713039416940834,0.824967538503401,0.787062755001436,0.801752142147541,0.747468626250339
"RINCO.05i",0.751162391507657,0.711771859013713,0.785849716201851,0.74585027241584,0.746012622921605,0.731927266318113,0.811830536398765,0.78928510770178,0.745631414598719,0.760103768467448,0.734949441699497,0.794498120468069,0.832178112377681,0.729874692216436,0.818887562942408,0.781783913608514,0.786939188267637,0.748788381467203,0.783358160810472,0.833792658320282
"ALEMO.05i",0.779775495092837,0.928641236676101,0.830319251428319,0.76592683362445,0.730268753852275,0,0.893169569594022,0.680862492723101,0.918059689157897,0.924174569402963,0,0.753743851282826,0.72181985581858,0.776382981502896,0.868373887640124,0.729383902545338,0.655908747084208,0.754017186927503,0,0.683817660080753
"DOURO.05i",0.764535979472557,0.719969708028716,0.750203587671794,0.747845532931506,0.793189320172046,0.810131799239069,0.864605983678573,0.883863709450124,0.793782833219739,0.788762018941926,0.779612089855583,0.802880055043892,0.748046803054237,0.787332474555428,0.758814342134148,0.83000864523812,0.806843131156803,0.757396281020537,0.857816103611275,0.779390391847832
"PAULO.05i",0.770204882234938,0.742124065758705,0.795662588016281,0.75338306017895,0.817160354893904,0.713776476847287,0.764337707060889,0.712853800242786,0.927511390014784,0.753736264187559,0.826946830613046,0.751728816468504,0.877113627456229,0.767550122360566,0.846851107824461,0.76469521918084,0.746352414466765,0.759223872744377,0.811303480607007,0.793363738476172
"CANAL.05i",0.727382495046837,0.762578309917914,0.797592373244227,0.889215556589061,0.698277867377563,0.776663915946454,0.841172316358225,0.723906022913068,0.915442905129198,0.800929409435025,0.662123939675208,0.70174792444294,0.812938052833729,0.830340509532234,0.801119134518924,0.726613090454373,0.718775563111303,0.670008032975725,0.806429720212109,0.854036923491943
"Pont1.05i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pont2.05i",0.761314219007766,0.820861787856647,0.85183473083656,0.688300214832196,0.73473125366173,0.762129256476728,0.718504244117133,0.685127233001083,0.686063849955539,0.757488781507615,0.676306050185448,0.749317119468753,0.853037970631943,0.744872609185588,0.829575843154567,0.776415356104006,0.648133088883445,0.834555903097355,0.853989275962426,0.809137177930941
"Pont15.05i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
