"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"PAPAG.05i",0.102045000847215,0.105142099310109,0.223830563401307,0.203133397805999,0.178913513118382,0.11120313745788,0.14800353995653,0.133949731198827,0.152196359838328,0.128760828264963,0.183619637677074,0.141494452953204,0.234328121823317,0.150833615009922,0.188181532387579,0.198228120160414,0.145845130430617,0.102123034064637,0.10409224174787,0.134009527396116
"PANTA.05i",0.130080402902516,0.184863667087931,0.181043815289021,0.124078405096815,0.163087979256493,0.146302547688385,0.149557477368785,0.185635060406945,0.152290586477133,0.106371833542905,0.165982521989694,0.0753503475023384,0.184985608813034,0.197868013665681,0.136551940225774,0.244420158901569,0.164077342750347,0.175153334643699,0.172058053560972,0.132758384472596
"CAIEA.05i",0.208122878407922,0.151502175481986,0.178263317775994,0.237364951590828,0.130887245058988,0.193682495771322,0.241817472288008,0.249471797281279,0.231664691519228,0.20822303761202,0.123907869022745,0.153396472320746,0.207211445374593,0.166014807914835,0.211887360883738,0.204885646068364,0.173572786077538,0.234355662065486,0.152312767212407,0.209252871867521
"FUNDO.05i",0.0752432382984554,0.178835478637372,0.155349187251136,0.129795839234671,0.128282820134656,0.125290807069816,0.0670403696874818,0.060765995337247,0.175765642778607,0.0812785211920385,0.168292027593642,0.0873665546465968,0.15070439287103,0.149654999273089,0.164228886661761,0.109859084388824,0.188737447678976,0.244607102863464,0.0776867458885279,0.142823048874289
"RINCO.05i",0.210459428791693,0.179951115354731,0.184385663737605,0.201366857113285,0.204607523491744,0.209609703797688,0.280275150278134,0.256746540207909,0.297214933311918,0.198322946970397,0.148617154773702,0.252679885798501,0.220169440905977,0.201952987391868,0.188410193163134,0.222443924002677,0.213843328995034,0.174865825389247,0.255700736786249,0.254761526977626
"ALEMO.05i",0.0144467954400702,0.0581319297202113,0.0101802843792503,0.0253155910530434,0.0178772685987947,0,0.0695212800833339,0.00598379873329464,0.011289638771261,0.0428437998519607,0,0.0120292895563871,0.0035405701794256,0.0230308765834187,0.0883800255872988,0.0207384157536715,0.00935182276093772,0.0110811877090642,0,0.00663034380002454
"DOURO.05i",0.229609213610656,0.143422566651334,0.215379471006842,0.0836037815932493,0.198187721604522,0.182157700286079,0.194108549712709,0.213851825630775,0.203911891085816,0.192735624709264,0.219285793256799,0.193171864133936,0.216685316403324,0.220626231970155,0.281820173461591,0.132426781231279,0.241046621486879,0.238765066568919,0.228552165419179,0.207395379679506
"PAULO.05i",0.123462241858907,0.0853662130644165,0.1667717480853,0.0805727470138967,0.171433129033431,0.150941807884996,0.162176609427217,0.124361137081314,0.197653474483184,0.114895827786251,0.167347049120032,0.104138778694936,0.164504465333584,0.113077755770318,0.123764663099753,0.0434772044665672,0.140320311886009,0.175972940453391,0.136952241329073,0.0482294785956497
"CANAL.05i",0.108112463634425,0.193112227821638,0.1534190447452,0.137366641965117,0.0641796327533168,0.130527319001785,0.153485691080383,0.178493112021685,0.174307994899388,0.122516733435607,0.0726769309354029,0.14545993545784,0.204545304847108,0.122222884019189,0.240286369007717,0.143322106653036,0.115511655013038,0.109957575556142,0.110725085476416,0.133127912617819
"Pont1.05i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
