"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"PAPAG.06v",0.367145634754541,0.362587697294412,0.379994169519914,0.380322600418856,0.380568833285315,0.394956588449043,0.406333028271098,0.375097003065334,0.409048200328965,0.340983915796304,0.364853207289993,0.385205704553444,0.348229792194255,0.388624923016936,0.347955829917577,0.3985355259662,0.369179554271722,0.339644260407038,0.407604878809399,0.316622105504549
"PANTA.06v",0.385290307417724,0.387428484356625,0.387718891891176,0.381573005116677,0.384327926091879,0.390352137977915,0.387732887025305,0.388035012519621,0.387317702467967,0.383511855299661,0.388655965631061,0.386749421100977,0.381447152886301,0.387016641104336,0.388427795972718,0.383170798298578,0.382239099251721,0.393843246160649,0.384260273238668,0.386281537097274
"CAIEA.06v",0.382582716308093,0.389562577399354,0.38531195931148,0.392069962897058,0.391665956531272,0.384468885235777,0.388354609853272,0.388616544943413,0.385460825258658,0.385536575566163,0.386376076077757,0.386470829187396,0.388279014636848,0.389984561475831,0.388203198444864,0.385701109312668,0.386447871710422,0.386880295521718,0.385506935344969,0.385111803275992
"FUNDO.06v",0.388617651852852,0.383884476938438,0.384442137502686,0.389540407135954,0.391953699601677,0.378188800121816,0.379361946842257,0.385586511581817,0.379170005622179,0.389307561133796,0.374195808540081,0.383995460527078,0.381559194611519,0.385247098648534,0.383382984370331,0.381097752099261,0.385921872597505,0.390566685465964,0.393149863974266,0.387638534684185
"RINCO.06v",0.395084364405575,0.378205851976969,0.379045307462451,0.379390013950924,0.38752139121539,0.381707020898501,0.37809819029921,0.389344675641807,0.385512760923564,0.384584891885517,0.392800054657018,0.387682897992614,0.369050340785283,0.389498941403811,0.38342777173608,0.389836738912641,0.381784587293108,0.380895222665257,0.380956739219747,0.37091918381395
"ALEMO.06v",0.371184127967557,0.401997640494338,0.347026106898808,0.409015672963289,0.335439867646482,0.375871152294287,0.324549056369085,0.350787053130171,0.347013430637859,0.325005589659864,0.364585988837771,0.364644996703743,0.349549061879372,0.355029919721726,0.345475274484883,0.357709300113141,0.373172079797977,0.367542926740794,0.379139462825517,0.35061476279743
"DOURO.06v",0.385356326858351,0.384608570402585,0.377885319271337,0.386437276398249,0.387412452808903,0.389182464684899,0.381512151467981,0.386487059268243,0.381154887276958,0.389848451865995,0.383277875787245,0.389997199552995,0.386403134077047,0.38599786241859,0.38946729151306,0.384177609068451,0.393560407747689,0.389104182857496,0.387966529758704,0.385881175410849
"PAULO.06v",0.381345127337712,0.387165983865381,0.358549960935752,0.366581112697889,0.363847040399637,0.382168411967184,0.388827908557537,0.366757792758381,0.374631288479279,0.373027709227641,0.389079641036817,0.367405960220814,0.380909956108089,0.368176186306813,0.372376834832154,0.373990642395195,0.379227470968073,0.38423786315534,0.373199141054242,0.393555611228158
"CANAL.06v",0.391355111911603,0.38467093048197,0.383192812826671,0.377445316237083,0.381091537973615,0.391366999829841,0.392098690772998,0.3818744977875,0.381994271294569,0.391057002314314,0.37867253605523,0.374980491291727,0.396200180362857,0.386587344309807,0.377686936568872,0.377242876495283,0.397201053010682,0.384141814239209,0.380932756603795,0.37782444844534
"TALHA.06v",0.389209730379322,0.386877776722552,0.388946288566937,0.382307357957332,0.385046864257137,0.388164923796355,0.38371239522614,0.387544951072443,0.383965329052503,0.38731816969512,0.383730123276084,0.381412300024312,0.386743365486858,0.384656728308883,0.390894283128437,0.383757975697635,0.383490025329877,0.386837605678163,0.385368525003986,0.385702144259916
"BARRA.06v",0.383393185467088,0.383644741952567,0.38603808442557,0.387320420362328,0.384510505986715,0.384984355205988,0.381875474119401,0.386704873246946,0.386096631828435,0.38523032066825,0.385198383739256,0.384729449102959,0.385414972285287,0.387291900246434,0.383548395832337,0.385150921878733,0.386819321723086,0.384883550464248,0.386301638865249,0.383504178415723
