"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"PAPAG.06v",0.830415258195199,0.904536568400465,0.833385797546932,0.825876642353613,0.818144777328562,0.866082294235349,0.925338448059607,0.871565093575957,0.901704300515603,0.77384441900579,0.872523210230676,0.868103072341825,0.861053634351181,0.903411989464134,0.867602314085318,0.878497158779199,0.848161979694223,0.880258172103752,0.925859585286961,0.689364712494507
"PANTA.06v",0.836628998738771,0.894285349585122,0.865099495632949,0.881509308557675,0.849861306488323,0.887218225365017,0.901254034410591,0.884302910461663,0.89127494411278,0.865144232102694,0.906543136922161,0.867352104208662,0.870580972209403,0.873690364200195,0.892765848504467,0.864464089908798,0.856347427900582,0.879765678224141,0.9013320658686,0.855652225566771
"CAIEA.06v",0.862707337945728,0.886011038721486,0.85582482767578,0.897505174629686,0.860328300451895,0.876268299251137,0.871158836659729,0.872382876889192,0.876656060901428,0.851688004181107,0.863672440660164,0.868697883184505,0.880260931182252,0.881346961971485,0.902082003415345,0.866597364142614,0.890924145066785,0.873894835792299,0.871368350739667,0.86491311900994
"FUNDO.06v",0.871220639927326,0.918284378193423,0.851166545701479,0.860297103712957,0.878837390403743,0.891903296800063,0.878480464317012,0.908949209402378,0.885393842754086,0.871625503189243,0.893516974602605,0.859977100865623,0.870298884294248,0.871460788364066,0.858800562038662,0.889871470437133,0.891826475056401,0.911300611970737,0.868773870521875,0.847821003163055
"RINCO.06v",0.886930904802614,0.870350460431517,0.871189137246488,0.872498334357384,0.905147635984858,0.884301618898792,0.902293047456582,0.83933532846086,0.873162316720059,0.867601134158579,0.859006890242276,0.908049890775219,0.865210373722129,0.866276091095619,0.864723012855463,0.868355666032759,0.908336333177242,0.893395664396411,0.852104627256514,0.88704636645879
"ALEMO.06v",0.788480835278289,0.845704801570763,0.805676162169616,0.849022978913312,0.779195581856387,0.892739876985227,0.893977941400099,0.755908496297947,0.824857366302524,0.820485838850156,0.84834037806646,0.830287725411852,0.835490758758704,0.837727843856457,0.814958241980556,0.771350954911275,0.820470451199731,0.887285555716988,0.821084725857133,0.723291750290612
"DOURO.06v",0.868749558450718,0.876806875302069,0.860527114791526,0.883648003796892,0.85924105517047,0.844746145799823,0.880195780397691,0.871711416352146,0.87729966394137,0.85635420511982,0.886696214848349,0.854968048985491,0.900612128362265,0.864468243485407,0.902521718502998,0.861349648187415,0.889793826503272,0.880318094827032,0.896507672083058,0.87022427196516
"PAULO.06v",0.898249681845602,0.875619594450076,0.877901818211917,0.863008287615039,0.855964572323457,0.855251340889386,0.896786556521557,0.90926808048171,0.855973405696038,0.88489234725375,0.899445464571946,0.868688891529404,0.874115810472288,0.905195938193456,0.876444165800446,0.863238812814133,0.836828420496758,0.892908363871104,0.869956768862843,0.921500814341614
"CANAL.06v",0.876802385450912,0.876039470031482,0.873787183435396,0.856116815355567,0.86886190803356,0.829961998342421,0.895876086303944,0.880699698433975,0.86131297940291,0.874922418224323,0.873271644248447,0.856686833924769,0.870437468867591,0.878655055825581,0.829219913456954,0.912707890433231,0.908590224485525,0.887243035332721,0.848466071503892,0.863523358091467
"TALHA.06v",0.855162567457099,0.884311347705797,0.871839487124976,0.883513624326717,0.861785659636439,0.911605785513385,0.846018495295842,0.882220594218066,0.870515358167531,0.863367519877384,0.874510282619623,0.860980695082302,0.864214513348283,0.864484430439587,0.863251096738806,0.839913283699414,0.853597099415683,0.858277858427353,0.896166657762171,0.879938424749619
"BARRA.06v",0.85994136762114,0.882882600657054,0.852689353351216,0.883721434070327,0.841588532355293,0.882222845158109,0.882019680486666,0.881880506115827,0.887861031089834,0.873472845569372,0.878836812358298,0.857869506714067,0.870544371026522,0.877342465369497,0.901947168766586,0.854782314930556,0.868248109464566,0.882498973869326,0.879220530246809,0.859766435424951
