"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"PAPAG.06v",0.869223566373134,0.872213696430104,0.827555941413544,0.83809509635334,0.81800442053617,0.850393209584544,0.858670210228316,0.860719790066915,0.922484024908784,0.784820607201369,0.866444841152712,0.854964414237853,0.827003660254429,0.88899671183645,0.812964891790234,0.918827970528927,0.8573158162727,0.846458545088767,0.839356029955388,0.779948075983824
"PANTA.06v",0.589755819081048,0.621368417336314,0.559291392915188,0.593984584503401,0.568833248522643,0.568434914533671,0.539779386817528,0.577781336594611,0.54765007568777,0.516449490307759,0.563916003545076,0.565893917004185,0.583862237173782,0.562975741685085,0.530312051454558,0.596645593620891,0.564852381987642,0.600114539557519,0.574088951910963,0.594384595650099
"CAIEA.06v",0.568437895023355,0.563838367315324,0.517359023719485,0.570643271440603,0.55803036990513,0.487336267342221,0.542735148159353,0.579585773805139,0.526451892111214,0.537206808046965,0.520691842899469,0.532398535955253,0.577093894831176,0.494307178864045,0.529696815117478,0.577666610792752,0.507243770078612,0.56616943561415,0.548354517191737,0.547959915560413
"FUNDO.06v",0.625141000767827,0.556698172990975,0.659067682161861,0.614719787032153,0.653593656237246,0.688554795060762,0.638194626120066,0.587356050692741,0.583621967751045,0.598138831632731,0.638009247130054,0.621883254253744,0.550583429387709,0.614255131200874,0.564987967938528,0.623382591890503,0.630839000948269,0.623544766204262,0.556958435419114,0.694851344052496
"RINCO.06v",0.631832111700274,0.708680735731368,0.578565481137868,0.677928055132739,0.664392920536888,0.711263600801107,0.678717182058242,0.688717656613621,0.686134123825202,0.608538290044716,0.632964300099408,0.607617969777951,0.691585473512038,0.632442173297824,0.645648003808495,0.699876461419134,0.65479037492877,0.694279224994408,0.675366782370694,0.704475795539983
"ALEMO.06v",0.911296878199629,0.928396207412948,0.893851299544769,0.819259249350305,0.866181698296001,0.951313771547024,0.850036415262744,0.891130799021362,0.856149857048904,0.870821127052389,0.882567192592056,0.860176880487246,0.847424848709331,0.87950177026675,0.831605681437991,0.869057012356572,0.893221112440307,0.853576789279755,0.858401863355194,0.725499046274278
"DOURO.06v",0.592100795342455,0.544517177353232,0.541312745392312,0.551147991601709,0.554595761203711,0.583399576981748,0.583157503989473,0.498411428391688,0.542309162455265,0.565333899618697,0.56951515252697,0.60470249867409,0.521525714350118,0.496670669279285,0.528647362872524,0.539082470590494,0.565860968148086,0.589764115210606,0.559275522325773,0.57965243134818
"PAULO.06v",0.766843970163911,0.758280778108204,0.661965255634626,0.810385799982646,0.754241463796252,0.813054201806063,0.766548394984429,0.787585127095057,0.756595309386474,0.759464326030638,0.832036501090488,0.763752772408849,0.773715127383052,0.758315544844105,0.788374690046821,0.809115309815742,0.775643002960617,0.80632308625364,0.795228642228348,0.821450072432519
"CANAL.06v",0.766655751751106,0.720378067505629,0.614480461146236,0.597908279045053,0.746697312658427,0.663343623643072,0.661431218831305,0.684479507382122,0.692883769808467,0.71671385664791,0.672996842008368,0.705262476110351,0.64913233073973,0.625769995352329,0.629836794946725,0.623717012808882,0.571666203026109,0.737129811641308,0.642880382387969,0.710868641005314
"TALHA.06v",0.505020947053321,0.49472784423305,0.518721317543505,0.540058261580114,0.52074617438042,0.501101052111028,0.56206340459464,0.477400700061208,0.549029320011777,0.505149244224833,0.562613255945593,0.44564048590691,0.490253875264234,0.53128534212559,0.479227115914235,0.514892718719767,0.533080553994171,0.575754642524931,0.568434300740576,0.517061262927886
"BARRA.06v",0.496650125102166,0.539476472237652,0.475870568258281,0.548633694240721,0.54237014498601,0.540950591936844,0.521688493456906,0.536045741948608,0.510585398589059,0.541949714573721,0.502264920837835,0.477620493891459,0.544696118626735,0.506303447183464,0.468893435947556,0.53590535568507,0.524318956554109,0.55278179523341,0.485611417815001,0.512778414432887
