"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"PAPAG.06v",0.0198323860785564,0.00105347750525003,3.61898119182226e-06,0.00268916766964459,2.71509920744041e-05,0.0002739270687328,0.000171691461544859,0.00227015526791514,0.000670739017344409,0.0118628625685523,7.06584460459821e-05,0.0218628988919382,0.000181806533465152,4.06069037882667e-05,0.000901552655424768,0.014860275402333,9.6362256495381e-05,5.88327315338007e-05,0.00147156108841022,0.00737442458473425
"PANTA.06v",0.106832704838086,0.0245699382313653,0.000608370133290099,0.0265330518564606,0.000756238665523687,0.00308201850706992,0.00389924369228453,0.0203934502730173,0.00417055403841012,0.0820392122382731,0.00457649510383555,0.112793161327766,0.00320122894511741,0.00486958017662824,0.0253020363416033,0.092640443628728,0.0068334880067899,0.00520095098472384,0.0168797723518033,0.131095653883892
"CAIEA.06v",0.130106559335307,0.0372210228819564,0.00108694568567798,0.0295416707967031,0.00131137731555542,0.00409054921914367,0.00547466588399414,0.0343532523742769,0.00554698183928097,0.132332965382974,0.00611283124704128,0.134927522206836,0.00656658010266201,0.00521674356602135,0.0238205156652752,0.106583709364044,0.00435041393321003,0.00598268021990788,0.0311215184357536,0.0992549977573726
"FUNDO.06v",0.0903570625129227,0.0183507488748089,0.000293530047543476,0.0224310479890038,0.00035213009136172,0.00173197019176946,0.00353722522913137,0.0226573652107859,0.00323733340510455,0.105259855638885,0.00182930790693126,0.0830087811986369,0.00346804625992291,0.0036211058866378,0.0242049754916916,0.109805758804991,0.00365647827193239,0.00340594458695505,0.0240641416551698,0.0641223621437596
"RINCO.06v",0.0835148146664812,0.00978040527896932,0.000213862715933151,0.0214473410680111,0.000242233770194931,0.00226398026685657,0.0013890824036697,0.0262744033246903,0.00328514312881647,0.0805926770324275,0.00307184454717543,0.0679860595028451,0.00212340396391237,0.00270135386067369,0.0124297521437885,0.0455865632257446,0.00205259478422503,0.00159793791866112,0.0168897176167155,0.072821036042811
"ALEMO.06v",0.00906570155929019,0.00168185522474219,7.61429612271402e-07,5.4112488373277e-06,8.47050184145232e-07,4.75681607412484e-05,5.00942755194145e-06,0.000516239444887609,2.19807690965576e-06,0.0025910701530267,5.94928068851668e-06,0.0041971217212262,4.81107109696393e-05,5.63265305967274e-05,0.000544867169048866,0.00351157416844296,7.60920787723571e-05,4.2307172902241e-06,0.00168437882022412,0.000107919305813602
"DOURO.06v",0.108085503369108,0.0290780736766763,0.00099411193473683,0.0328715226964523,0.00094890217993445,0.00689874787830961,0.00567918251513054,0.0194164187054404,0.00356599326780717,0.105955532085312,0.00512424433693953,0.103640807082829,0.00451259481045945,0.00626037371732421,0.0247684558288633,0.10576657453094,0.00500859803918985,0.00523082707537209,0.0251960967361803,0.1327217452874
"PAULO.06v",0.0174917628234579,0.00269111743082477,1.00311367964669e-05,0.00548556431416693,8.16779624842132e-05,0.00066836550783734,0.000686391174653923,0.00659658289418464,0.000458031466432171,0.0256453566733363,0.000326732117824804,0.0154402568501322,0.000301088339765678,0.000745046038397633,0.0056305408853938,0.0520545765876518,0.000664134657311446,0.000260319595574116,0.00389114081055254,0.027293731752071
"CANAL.06v",0.0724044060761827,0.0115509083534835,0.000185690849248314,0.0185493463675235,0.000509794988752284,0.00216314002336633,0.00188154930441259,0.0184022914196256,0.00188044165693593,0.046192286330091,0.00193422192958833,0.0652676741849023,0.00375045245439603,0.00348029205892264,0.0196774768860684,0.041768069349685,0.00222302615437882,0.00149889685715749,0.0123581778849928,0.0648815586911634
"TALHA.06v",0.134828727177085,0.0367356618573988,0.0011689268377876,0.0394048035074493,0.00102196890826366,0.00487445580582221,0.00767875072614138,0.0275753876953621,0.00542641410825149,0.123483308862312,0.00745852861287684,0.113476144058177,0.00546756402809055,0.0069073536689926,0.0398392234941736,0.118453654691341,0.00545643947335275,0.00640645732734687,0.0302654063851937,0.107771733818931
