"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"PAPAG.06v",13,11,10,11,12,12,11,12,14,10,11,11,11,11,10,13,11,10,9,9
"PANTA.06v",36,35,32,36,33,32,35,30,35,29,36,35,31,38,36,33,41,35,34,38
"CAIEA.06v",40,40,41,42,43,35,38,38,38,41,39,40,41,37,37,36,36,39,41,36
"FUNDO.06v",29,26,27,30,28,25,32,33,28,32,29,29,31,31,32,34,30,29,30,31
"RINCO.06v",31,28,22,26,24,26,27,28,26,28,28,25,29,28,31,25,28,24,26,24
"ALEMO.06v",9,9,9,6,9,9,7,8,7,7,8,7,8,9,8,7,9,8,8,5
"DOURO.06v",35,36,40,41,37,39,40,33,34,37,41,36,39,39,37,37,38,37,36,40
"PAULO.06v",14,14,11,17,16,19,16,15,16,14,14,13,12,17,15,17,17,14,14,11
"CANAL.06v",23,28,26,24,28,25,23,28,28,23,22,25,31,27,29,20,26,25,25,24
"TALHA.06v",43,40,42,45,42,42,44,41,37,42,43,41,39,41,42,37,37,43,39,40
"BARRA.06v",40,46,44,44,42,45,41,46,43,45,43,42,45,43,45,44,45,46,44,45
"PPRAI.06v",45,47,48,45,47,46,47,49,47,47,50,44,46,47,50,46,47,46,46,43
"VEANA.06v",11,13,10,10,10,8,12,10,9,10,12,8,10,9,11,11,14,14,10,12
"PAPAG.07v",8,8,8,6,8,8,7,6,8,6,9,5,7,7,7,5,8,7,7,6
"PANTA.07v",17,15,17,19,21,20,16,19,18,16,21,19,19,17,18,20,21,22,14,17
"CAIEA.07v",26,26,28,28,26,24,29,31,31,29,26,25,25,29,29,29,31,31,29,25
"FUNDO.07v",17,20,15,22,17,23,15,19,18,19,18,16,18,17,19,20,19,21,18,19
"RINCO.07v",26,18,21,24,27,29,27,26,28,26,21,24,23,22,25,23,26,24,25,22
"DOURO.07v",34,35,35,31,33,37,37,35,34,35,38,33,35,32,36,36,34,38,35,34
