"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"PAPAG.05i",9,9,8,9,9,8,7,9,9,8,9,9,8,9,9,9,9,8,9,9
"PANTA.05i",9,8,9,8,9,9,9,9,9,8,9,9,9,8,9,9,9,9,8,8
"CAIEA.05i",11,12,12,12,11,11,10,12,11,11,12,11,12,12,11,12,11,12,12,12
"FUNDO.05i",7,8,8,7,8,8,7,7,8,8,8,7,7,7,7,7,8,8,8,8
"RINCO.05i",15,15,16,15,14,16,16,16,15,15,15,14,15,16,16,16,15,16,16,16
"ALEMO.05i",3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,3,0,3
"DOURO.05i",12,12,12,11,12,13,13,12,11,13,13,13,13,12,13,12,13,13,12,12
"PAULO.05i",7,8,7,8,8,8,8,8,7,8,7,7,8,8,8,6,8,8,8,8
"CANAL.05i",9,9,9,9,9,9,8,9,9,9,9,8,9,9,9,9,9,8,9,9
"Pont1.05i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pont2.05i",6,6,6,6,5,5,6,6,6,6,6,5,6,6,6,6,4,6,6,6
"Pont15.05i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pont20.05i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JDIAS.05i",7,7,7,7,6,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7
"RONDA.05i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNITO.05i",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"SAIDA.05i",5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"SIMAO.05i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIGUA.05i",8,8,8,8,7,8,7,8,8,8,7,8,7,8,8,8,8,8,8,7
"PAPAG.06i",7,8,8,8,8,8,8,8,7,8,8,8,8,8,7,8,7,7,8,8
"PANTA.06i",13,13,14,13,14,14,14,13,12,14,14,13,14,14,13,14,13,14,13,13
"CAIEA.06i",12,12,13,13,12,13,12,12,13,12,13,12,13,13,12,13,12,13,13,12
"FUNDO.06i",20,19,20,20,20,20,21,20,19,21,19,21,20,21,20,21,20,21,21,21
"RINCO.06i",15,15,14,15,13,14,14,15,15,15,15,14,14,15,15,15,15,15,14,15
"ALEMO.06i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CANAL.06i",15,16,16,16,16,15,16,16,14,14,16,15,16,16,16,16,15,15,15,14
"BABAL.06i",17,16,18,16,16,17,17,17,17,16,18,16,17,17,18,17,18,18,17,16
"LMEIO.06i",18,19,20,20,19,18,20,19,19,19,19,20,20,19,18,17,20,20,18,19
"TALHA.06i",10,11,10,11,11,11,11,10,9,11,10,10,11,11,11,11,10,11,10,11
"BARRA.06i",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,3,3
"PPRAI.06i",14,14,14,14,13,12,13,12,13,13,12,13,14,13,14,14,13,14,13,13
"FIGUA.06i",15,15,14,15,15,15,14,14,14,15,14,13,14,15,14,14,13,15,14,15
"PAPAG.06v",10,9,9,9,10,10,9,10,9,8,9,10,10,9,10,9,9,8,9,9
"PANTA.06v",7,9,9,8,6,9,7,9,9,8,8,9,9,9,8,9,9,8,7,8
"CAIEA.06v",13,14,14,14,15,15,14,15,15,14,14,14,14,13,14,13,14,13,13,15
"FUNDO.06v",15,15,17,17,15,16,16,16,15,16,16,16,15,16,16,16,17,17,17,16
"RINCO.06v",16,15,15,14,17,16,15,16,17,16,17,16,17,16,16,16,17,15,16,16
"ALEMO.06v",4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4
"DOURO.06v",13,14,13,13,12,14,13,14,11,12,12,13,12,14,14,13,13,13,13,13
"PAULO.06v",9,8,10,9,10,9,9,9,10,9,8,9,10,10,9,8,9,10,10,9
"CANAL.06v",9,8,10,10,10,10,8,9,10,10,10,9,10,10,10,9,9,10,9,10
"BABAL.06v",4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4
"TALHA.06v",8,9,11,11,10,11,11,11,10,11,11,10,11,9,11,10,10,11,10,11
"BARRA.06v",14,16,15,14,14,15,15,15,13,15,15,16,14,14,15,14,14,14,15,16
"PPRAI.06v",11,11,12,11,11,12,11,12,10,10,12,12,12,12,11,12,10,11,11,10
