sp,Lagoa do Papagaio,Granja do Pântano,Caieira,Capão do Fundo,Lagoa do Rincão,Banhado da Alemoa,Lagoa do Sangradouro,Paulo Santana,Canal da Lagoa,PNLP - Banhado do balneário,PNLP - Trilha do Talhamar,PNLP - Barra da Lagoa,PNLP - praia,Parna - Lagoa da Veiana,Parna - Lagoa Pai João
PODICIPEDIDAE,,,,,,,,,,,,,,,
Rollandia rolland,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tachybaptus dominicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Podilymbus podiceps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Podiceps major,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PHALACROCORACIDAE,,,,,,,,,,,,,,,
Phalacrocorax brasilianus,0,2,1,0,1,0,0,0,0,0,23,0,0,0,0
ANHINGIDAE,,,,,,,,,,,,,,,
Anhinga anhinga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARDEIDAE,,,,,,,,,,,,,,,
Ardea cinerea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ardea cocoi,2,0,2,1,1,0,0,1,2,0,0,1,0,1,0
Casmerodius  albus,2,1,8,3,8,1,14,1,2,0,0,0,0,4,0
Ardea ibis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butorides striata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egretta tricolor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egretta caerulea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egretta thula,1,0,4,1,2,0,5,0,3,0,20,0,0,1,0
Syrigma sibilatrix,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1
Pilherodius pileatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyctanassa violacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nycticorax nycticorax,0,0,2,2,0,0,0,0,14,0,0,0,0,0,0
Botaurus pinnatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ixobrychus involucris,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ixobrychus exilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigrisoma lineatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agamia agamia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cochlearius cochlearius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CICONIIDAE,,,,,,,,,,,,,,,
Mycteria americana,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Ciconia maguari,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Jabiru mycteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THRESKIORNITIDAE,,,,,,,,,,,,,,,
Theristicus caerulescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theristicus caudatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesembrinibis cayennensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phimosus infuscatus,1,7,3,10,10,0,29,2,36,3,0,0,0,4,0
