sp,Granja do Pântano,Capão do Fundo,Lagoa do Meio,Caieira,Rincão,Trilha da Figueira (PNLP),Praia (PNLP),Trilha das Dunas (PNLP)
Chauna torquata,0,0,0,7,0,0,0,4
Dendrocygna bicolor,41,0,0,1,0,0,0,0
Dendrocygna viduata,714,3,984,3,0,0,0,0
Coscoroba coscoroba,0,0,0,0,8,0,0,2
Amazonetta brasiliensis,37,28,26,10,40,2,0,7
Anas flavirostris,0,11,2,0,2,0,0,0
Anas georgica,0,0,0,1,0,0,0,4
Anas versicolor,2,19,4,0,7,3,0,0
Netta peposaca,0,0,0,9,0,0,0,0
Oxyura vittata,0,0,4,0,0,0,0,0
Rollandia rolland,0,0,2,0,5,0,0,0
Podilymbus podiceps,0,0,6,1,2,0,0,0
Podicephorus major,0,3,1,1,5,1,0,0
Phalacrocorax brasilianus,1,28,5,4,23,0,0,0
Nycticorax nycticorax,1,17,0,0,0,0,0,0
Bubulcus ibis,1,0,3,2,3,0,0,0
Ardea cocoi,2,3,10,16,3,0,0,0
Ardea alba,1,3,4,11,6,0,0,3
Egretta thula,1,0,1,4,2,10,0,3
Plegadis chihi,7,0,275,142,1074,0,0,17
Phimosus infuscatus ,14,0,0,5,0,0,0,0
Theristicus caerulescens,0,0,0,0,2,0,0,0
Platalea ajaja,0,1,0,5,0,0,0,4
Ciconia maguari,0,0,1,3,2,3,0,2
Phoenicopterus chilensis,0,0,0,0,0,89,0,0
Rostrhamus sociabilis ,0,1,0,0,0,0,0,0
Circus buffoni ,0,1,0,0,0,0,0,0
Heterospizias meridionalis,0,1,2,1,0,0,0,0
Buteo magnirostris,0,1,0,0,0,0,0,0
Caracara plancus,0,0,2,0,2,0,0,1
Milvago chimango,0,2,1,0,0,0,0,1
Aramus guarauna,3,0,0,1,0,0,0,0
Gallinula chloropus,38,53,279,11,139,0,0,3
Fulica leucoptera ,0,0,17,0,93,0,0,0
Charadrius collaris,0,0,0,0,0,0,4,0
Charadrius modestus,0,0,15,,0,0,0,0
Haematopus palliatus,0,0,0,0,0,1,66,0
Himantopus melanurus,3,5,5,1,5,4,0,4
Gallinago paraguaiae ,1,0,0,1,0,0,0,0
Calidris alba,0,0,0,0,0,0,2,0
Jacana jacana,0,19,5,24,5,0,0,0
Larus dominicanus,0,0,0,0,0,0,7,0
Chroicocephalus cirrocephalus,0,0,0,4,0,0,0,0
Chroicocephalus  maculipennis ,0,4,4,3,14,2,408,5
Sternula superciliaris,0,0,0,0,1,3,4,0
Sterna hirundo,0,0,0,0,0,3,82,0
Sterna hirundinacea,0,0,0,0,0,0,25,0
Sterna trudeaui,0,0,0,0,4,3,108,0
Thalasseus maximus,0,0,0,0,0,0,1,0
Rhynchops niger,0,0,0,0,0,8,0,0
Chroicocephalus sp (Larus),0,0,0,0,25,0,0,0
Fulica sp,0,0,0,0,6,0,0,0
Tachycineta leucorrhoa,0,0,0,0,1,0,0,0
Anas sp,0,0,0,0,0,0,0,6
