sp,Praia do balneário,PNLP-Praia,PNLP -Barra da Lagoa ,PNLP- Banhado do Balneário,Capão do Fundo,Lagoa do Rincão,Trilha da Figueira,PNLP - Trilha do Talhamar
PODICIPEDIDAE (Mergulhões),,,,,,,,
Podiceps major,,,,,,,,2
PHALACROCORACIDAE (Biguá),,,,,,,,
Phalacrocorax brasiliensis,,,18,,,4,21,8
"ARDEIDAE (Garças, Socós)",,,,,,,,
Ardea cocoi,5,2,2,1,,2,1,
Casmerodius albus,,,,11,,3,4,28
Ardea ibis,,,,,,,,
Butorides striatus,,,,,,2,,
Egretta thula,,1,1,,,2,6,9
Nycticorax nycticorax,,,,,,,,
Ardeidae spp.,,,,,,,,
"CICONIIDAE (João Grande, Jaburú)",,,,,,,,
Mycteria americana,,,,2,,,,
Ciconia maguari,,,,,1,,,
"THRESKIORNITHIDAE (Maçaricos, Colhereiro)",,,,,,,,
Phimosus infuscatus,,,,,,,,
Plegadis chihi,,,,2,16,420,16,1
Ajaia ajaja,,,,,,3,,
PHOENICOPTERIDAE (Flamingos),,,,,,,,
Phoenicopterus chilensis,,,,,,,,122
Phoenicopteridae spp.,,,,,,,,
ANHIMIDAE (Tachã e Anhuma),,,,,,,,
Chauna torquata,,,,9,1,,,
"ANATIDAE (Marrecas, Cisnes, Patos)",,,,,,,,
Dendrocygna bicolor,,,,,,4,,
Dendrocygna viduata,,,,,1,340,,
Coscoroba coscoroba,,,,7,,1,1,
Amazonetta brasiliensis,,,,9,22,19,,7
Anas flavirostris,,,,,1,,,
Anas versicolor,,,,1,1,13,,17
Anas georgica,,,,,,,5,8
ARAMIDAE (Carão),,,,,,,,
Aramus guarauna,,,,4,1,4,,
JACANIDAE (Jaçanã),,,,,,,,
Jacana jacana,,,,,,8,,
HAEMATOPODIDAE (Piru-piru),,,,,,,,
Haematopus palliatus,181,172,,,,,3,
RECURVIROSTRIDAE (Pernilongo),,,,,,,,
Himantopus melanurus,7,8,2,,,11,4,6
"RALLIDAE (Saracuras, Frangos-d’água)",,,,,,,,
Pardirallus sanguinolentus,,,,2,,,,
Gallinula chloropus,,,,,34,118,,
Gallinula melanops,,,,5,,,,
Fulica leucoptera,,,,,,,,
Fulica  armillata,,,,,,,,1424
Fulica sp.,,,,,,,,6
"CHARADRIIDAE (Batuiruçus, Batuíras)",,,,,,,,
Vanellus chilensis,,,,,,,,
Pluvialis dominica,,,,,,,,
Charadrius semipalmatus,,,,,,,,
Charadrius collaris,2,2,2,,,,,
Charadrius falklandicus,,,27,,,,,
"SCOLOPACIDAE (Maçaricos, Narcejas)",,,,,,,,
Tringa melanoleuca,,,,,,,,
Tringa flavipes,,,,,,,,
Tringa solitaria,,,,,,,,
Calidris canutus,,,,,,,,
Calidris alba,,,,,,,,
Calidris minutilla,,,,,,,,
Calidris fuscicollis,,,,,,,,
Tryngites subruficollis,,,,,,,,
"LARIDAE (Gaivotas, Trinta-réis)",,,,,,,,
Larus dominicanus,262,112,,,1,,,
Larus maculipennis,130,95,,,5,1,9,8
Larus spp.,,,,,,,,
Sterna trudeaui,131,117,,,,,,
Sterna superciliaris,6,,4,5,,,,3
Sterna eurygnatha,4,2,5,,,,,
Sterna simplex,,,,,,,2,3
Sterna hirundo,150,46,55,,,,,
Sterna hirundinacea,,,46,,,,,
Thalasseus maximus,,,7,,,,,
Sterna spp.,,,60,,,,6,
RHYNCHOPIDAE (Talha-mar),,,,,,,,
Rynchops niger,,,5,,,,,
"ACCIPITRIDAE (Águias, Gaviões)",,,,,,,,
Circus buffoni,,,,2,,,,
Rostrhamus sociabilis,,,,,,,,
"FALCONIDAE (Gaviões, Falcões)",,,,,,,,
Caracara plancus,,,,,1,,,
Milvago chimango,,,,,,,,
