sp,RINCO,BARRA,FIGUA,TALHA,BABAL,PRABA,FUNDO,PPRAI
PODICIPEDIDAE,,,,,,,,
Rollandia rolland,0,0,0,0,0,0,0,0
Tachybaptus dominicus,0,0,0,0,0,0,0,0
Podilymbus podiceps,3,0,0,0,0,0,0,0
Podiceps major,0,0,0,0,0,0,0,0
,,,,,,,,
PHALACROCORACIDAE,,,,,,,,
Phalacrocorax brasilianus,8,25,1,101,0,1,7,2
,,,,,,,,
ANHINGIDAE,,,,,,,,
Anhinga anhinga,0,0,0,0,0,0,3,0
,,,,,,,,
ARDEIDAE,,,,,,,,
Ardea cinerea,0,0,0,0,0,0,0,0
Ardea cocoi,4,5,0,2,2,1,0,1
Ardea alba,18,0,0,8,10,0,6,0
Bubulcus ibis,4,0,0,8,2,0,12,0
Butorides striatus,1,0,0,0,1,0,0,0
Egretta tricolor,0,0,0,0,0,0,0,0
Egretta caerulea,0,0,0,0,0,0,0,0
Egretta thula,12,0,2,16,5,0,37,1
Syrigma sibilatrix,0,0,0,0,0,0,0,0
Pilherodius pileatus,0,0,0,0,0,0,0,0
Nyctanassa violacea,0,0,0,0,0,0,0,0
Nycticorax nycticorax,5,0,0,0,2,0,1,0
Botaurus pinnatus,0,0,0,0,0,0,0,0
Ixobrychus involucris,0,0,0,0,0,0,0,0
Ixobrychus exilis,0,0,0,0,0,0,0,0
Tigrisoma fasciatum,0,0,0,0,0,0,0,0
Tigrisoma lineatum,0,0,0,0,0,0,0,0
Agamia agamia,0,0,0,0,0,0,0,0
Cochlearius cochlearius,0,0,0,0,0,0,0,0
,,,,,,,,
CICONIIDAE,,,,,,,,
Mycteria americana,0,0,0,0,2,0,4,0
Ciconia maguari,14,0,0,4,0,0,0,0
Jabiru mycteria,0,0,0,0,0,0,0,0
,,,,,,,,
THRESKIORNITIDAE,,,,,,,,
Theristicus caerulescens,0,0,0,0,0,0,0,0
Theristicus caudatus,0,0,0,0,0,0,0,0
Mesembrinibis cayennensis,0,0,0,0,0,0,0,0
Phimosus infuscatus,21,0,0,3,5,0,1,0
Eudocimus ruber,0,0,0,0,0,0,0,0
Plegadis chihi,22,0,7,20,14,0,7,0
Platalea ajaja,0,0,7,0,0,0,0,0
,,,,,,,,
PHOENICOPTERIDAE,,,,,,,,
Phoenicopterus ruber,0,0,0,0,0,0,0,0
Phoenicopterus chilensis,117,0,66,13,0,0,0,0
,,,,,,,,
ANHIMIDAE,,,,,,,,
Anhima cornuta,0,0,0,0,0,0,0,0
Chauna torquata,5,0,0,0,1,0,0,0
,,,,,,,,
