"x"
"Amazonetta brasiliensis"
"Anas flavirostris"
"Anas georgica"
"Anas versicolor"
"Anhima cornuta"
"Aramides ypecaha"
"Aramus guarauna"
"Ardea alba"
"Ardea cocoi"
"Arenaria interpres"
"Bartramia longicauda"
"Bubulcus ibis"
"Buteo magnirostris"
"Butorides striata"
"Calidris alba"
"Calidris canutus"
"Calidris fuscicollis"
"Calidris minutilla"
"Callonetta leucophrys"
"Casmerodius albus"
"Charadrius collaris"
"Charadrius falklandicus"
"Charadrius modestus"
"Charadrius semipalmatus"
"Chauna torquata"
"Chloroceryle amazona"
"Chloroceryle americana"
"Chroicocephalus cirrocephalus"
"Chroicocephalus maculipennis"
"Chroicocephalus  maculipennis "
"Ciconia maguari"
"Circus buffoni "
"Coscoroba coscoroba"
"Cygnus melanocoryphus"
"Dendrocygna bicolor"
"Dendrocygna viduata"
"Egretta thula"
"Fulica armillata"
"Fulica leucoptera"
"Fulica leucoptera "
"Gallinago paraguaiae"
"Gallinago paraguaiae "
"Gallinula chloropus"
"Gallinula melanops "
"Gelochelidon nilotica"
"Haematopus palliatus"
"Himantopus mexicanus"
"Ixobrychus involucris"
"Jabiru mycteria"
"Jacana jacana"
"Larus dominicanus"
"Megaceryle torquata"
"Micropalama himantopus"
"Mycteria americana"
"Netta peposaca"
"Nycticorax nycticorax"
"Oxyura vittata"
"Pardirallus nigricans"
"Pardirallus sanguinolentus"
"Phaetusa simplex"
"Phalacrocorax brasilianus"
"Phimosus infuscatus"
"Phimosus infuscatus "
"Phoenicopterus andinus"
"Phoenicopterus chilensis"
"Platalea ajaja"
"Plegadis chihi"
"Pluvialis dominica"
"Pluvialis squatarola"
"Podicephorus major"
"Podiceps major"
"Podilymbus podiceps"
"Porphyriops melanops"
"Rhynchops niger"
"Rollandia rolland"
"Rostrhamus sociabilis "
"Rynchops niger"
"Sterna hirundinacea"
"Sterna hirundo"
"Sterna sandvicensis"
"Sterna trudeaui"
"Sterna vittata"
"Sternula superciliaris"
"Syrigma sibilatrix"
"Tachybaptus dominicus"
"Thalasseus maximus"
"Theristicus caerulescens"
"Tringa flavipes"
"Tringa melanoleuca"
"Tringa semipalmatus"
"Tringa solitaria"
"Tryngites subruficollis"
"Vanellus chilensis"
