sp,nome_pt,status,ref
RHEIDAE,,,
Rhea americana,Ema,R/nd,
TINAMIDAE,,,
Rhynchotus rufescens,Perdigão,R,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
Nothura maculosa,"Perdiz, Codorna",R,(Nascimento 1995) 
ANHIMIDAE,,,
Chauna torquata,Tachã,R/nd,(Nascimento 1995)
ANATIDAE,,,
Dendrocygna bicolor,Marreca-caneleira,R,(Nascimento 1995)
Dendrocygna viduata,"Marreca-piadeira, Irerê",R,(Nascimento 1995)
Cygnus melancoryphus,Cisne-de-pecoço-preto,R/nd,(Nascimento 1995) 
Coscoroba coscoroba,Capororoca,R/nd,(Nascimento 1995)
Callonetta leucophrys,Marreca-de-coleira,D,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
Amazonetta brasiliensis,Marreca-pé-vermelho,R/nd,(Nascimento 1995)
Anas sibilatrix,Marreca-oveira,S,(Nascimento 1995)
Anas flavirostris,Marreca-pardinha,R/nd,(Nascimento 1995)
Anas georgica,Marreca-parda,R/nd,(Nascimento 1995)
Anas bahamensis,Marreca-toicinho,V,
Anas versicolor,Marreca-cricri,R/nd,(Nascimento 1995)
Anas platalea,Marreca-colhereira,S,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
Netta peposaca,Marrecão,R,(Nascimento 1995)
Heteronetta atricapilla,Marreca-de-cabeça-preta,S/nd,(Nascimento 1995)
Nomonyx dominicus,Marreca-de-bico-roxo,R,
Oxyura vittata,Marreca-pés-na-bunda,S,(Nascimento 1995)
PODICIPEDIDAE,,,
Rollandia rolland,Mergulhão-de-orelhas-brancas,R/nd,(Nascimento 1995)
Tachybaptus dominicus,Mergulhão-pequeno,R,
Podilymbus podiceps,Mergulhão,R,(Nascimento 1995)
Podiceps major,Mergulhão-grande,R,(Nascimento 1995)
SPHENISCIDAE,,,
Aptenodytes patagonicus,Pingüim-rei,"Ps, V","Mohr, L. V. 2004. Novo registro do pingüim-rei Aptenodytes patagonicus para o Brasil. Ararajuba, 12: 78-79.
"
Spheniscus magellanicus,Pingüim-de-magalhães,Ps,(Nascimento 1995)
DIOMEDEIDAE,,,
Thalassarche chlororhynchos (Diomedea chlororhynchos),Albatroz-de-nariz-amarelo,Ps,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
Thalassarche melanophris (Diomedea melanophris),Albatroz-de-sobrancelha,Ps,(Nascimento 1995)
Thalassarche cauta (Diomedea cauta),Albatroz-arisco,"Ps, V",(Nascimento 1995)
PROCELLARIIDAE,,,
Macronectes giganteus,Pardelão-gigante,Ps,(Nascimento 1995)
Fulmarus glacialoides,Pardelão-prateado,Ps,(Nascimento 1995)
Daption capense,Pomba-do-cabo,Ps,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
Pterodroma incerta,Fura-bucho-de-capuz,Ps,
Halobaena caerulea,Petrel-azul,"Ps, V ",
Pachyptila vittata,Faigão-de-bico-largo,Ps,
Pachyptila desolata,Faigão-rola,"Ps,V","PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
Procellaria aequinoctialis,Pardela-preta,Ps,
Puffinus puffinus,Bobo-pequeno,Pn,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
HYDROBATIDAE,,,
Oceanites oceanicus,Alma-de-mestre,Ps,(Nascimento 1995)
SULIDAE,,,
Sula leucogaster,Atobá-pardo,V,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246. "
PHALACROCORACIDAE,,,
Phalacrocorax brasilianus,Biguá,R,(Nascimento 1995)
ANHINGIDAE,,,
Anhinga anhinga,Biguatinga,R,
FREGATIDAE,,,
Fregata magnificens,Tesourão,Ps,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
ARDEIDAE,,,
Tigrisoma lineatum,Socó-boi-verdadeiro,R,(Nascimento 1995)
Botaurus pinnatus,Socó-boi-baio,"M, #",(Nascimento 1995)
Ixobrychus involucris,Socoí-amarelo,R,(Nascimento 1995)
Nycticorax nycticorax,Savacu,R,(Nascimento 1995)
Butorides striata,Socozinho,M,"

"
Bubulcus ibis,Garça-vaqueira,R,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
Ardea cocoi,"Garça-moura, Socó-grande",R,(Nascimento 1995)
Casmerodius albus,Garça-branca-grande,R,(Nascimento 1995)
Syrigma sibilatrix,Maria-faceira,R,"PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
Egretta thula,Garça-branca-pequena,R,(Nascimento 1995)
THRESKIORNITHIDAE,,,
Plegadis chihi,Maçarico-preto,R/nd,(Nascimento 1995)
Phimosus infuscatus,"Maçarico-de-cara-pelada, Chapéu-velho",R/nd,(Nascimento 1995)
