"","site","habitat","season"
"1","Lagoa.do.Papagaio-d2005inv","lagoa","winter"
"2","Garanja.do.Pântano-d2005inv","grass","winter"
"3","Caieira-d2005inv","grass","winter"
"4","Capão.do.Fundo-d2005inv","grass","winter"
"5","Lagoa.do.Rincão-d2005inv","lagoa","winter"
"6","Banhado.da.Alemoa-d2005inv","grass","winter"
"7","Lagoa.do.Sangradouro-d2005inv","lagoa","winter"
"8","Paulo.Santana-d2005inv","grass","winter"
"9","Canal.da.lagoa-d2005inv","lagoa","winter"
"10","Ponto1-d2005inv","grass","winter"
"11","Ponto2-d2005inv","grass","winter"
"12","Ponto20-d2005inv","grass","winter"
"13","Lagoa.João.Dias-d2005inv","lagoa","winter"
"14","Lagoa.do.Bonito-d2005inv","lagoa","winter"
"15","Saída.da.Caieira-d2005inv","grass","winter"
"16","Lagoa.da.Figueira-d2005inv","lagoa","winter"
"17","Lagoa.do.Papagaio-d2006inv","lagoa","winter"
"18","Granja.do.Pântano-d2006inv","grass","winter"
"19","Caieira-d2006inv","grass","winter"
"20","Capão.do.Fundo-d2006inv","grass","winter"
"21","Lagoa.do.Rincão-d2006inv","lagoa","winter"
"22","Canal.da.Lagoa-d2006inv","lagoa","winter"
"23","PNLP...Banhado.do.balneário-d2006inv","grass","winter"
"24","PNLP...Lagoa.do.meio-d2006inv","lagoa","winter"
"25","PNLP...Trilha.do.Talhamar-d2006inv","grass","winter"
"26","PNLP...Barra.da.Lagoa-d2006inv","praia","winter"
"27","PNLP...praia-d2006inv","praia","winter"
"28","PNLP...Figueiras-d2006inv","grass","winter"
"29","Lagoa.do.Papagaio-d2006ver","lagoa","summer"
"30","Granja.do.Pântano-d2006ver","grass","summer"
"31","Caieira-d2006ver","grass","summer"
"32","Capão.do.Fundo-d2006ver","grass","summer"
"33","Lagoa.do.Rincão-d2006ver","lagoa","summer"
"34","Banhado.da.Alemoa-d2006ver","grass","summer"
"35","Lagoa.do.Sangradouro-d2006ver","lagoa","summer"
"36","Paulo.Santana-d2006ver","grass","summer"
"37","Canal.da.Lagoa-d2006ver","lagoa","summer"
"38","PNLP...Banhado.do.balneário-d2006ver","grass","summer"
"39","PNLP...Trilha.do.Talhamar-d2006ver","grass","summer"
"40","PNLP...Barra.da.Lagoa-d2006ver","praia","summer"
"41","PNLP...praia-d2006ver","praia","summer"
"42","Parna...Lagoa.da.Veiana-d2006ver","lagoa","summer"
"43","Parna...Lagoa.Pai.João-d2006ver","lagoa","summer"
"44","Lagoa.do.Papagaio-d2007ver","lagoa","summer"
"45","Granja.do.Pântano-d2007ver","grass","summer"
"46","Caieira-d2007ver","grass","summer"
"47","Capão.do.Fundo-d2007ver","grass","summer"
"48","Lagoa.do.Rincão-d2007ver","lagoa","summer"
"49","Banhado.da.Alemoa-d2007ver","grass","summer"
"50","Lagoa.do.Sangradouro-d2007ver","lagoa","summer"
"51","Canal.da.Lagoa-d2007ver","lagoa","summer"
"52","PNLP...Banhado.do.balneário-d2007ver","grass","summer"
"53","PNLP...Trilha.do.Talhamar-d2007ver","grass","summer"
"54","PNLP...Barra.da.Lagoa-d2007ver","praia","summer"
"55","PNLP...praia-d2007ver","praia","summer"
"56","PNLP...Figueiras-d2007ver","grass","summer"
"57","PARNA.Praia-d2008inv","praia","winter"
"58","PARNA.Barra.da.Lagoa-d2008inv","praia","winter"
"59","Lagoa.do.Papagaio-d2009ver","lagoa","summer"
"60","Granja.do.Pântano-d2009ver","grass","summer"
"61","Caieira-d2009ver","grass","summer"
"62","Capão.do.Fundo-d2009ver","grass","summer"
"63","Lagoa.do.Rincão-d2009ver","lagoa","summer"
"64","Lagoa.do.meio-d2009ver","lagoa","summer"
"65","Canal.da.Lagoa-d2009ver","lagoa","summer"
"66","PNLP...Figueiras-d2009ver","grass","summer"
"67","PNLP...praia-d2009ve2","praia","winter"
"68","Praia.do.balneário-d2012inv","praia","winter"
"69","Praia.Parna..PNLP-d2012inv","praia","winter"
"70","Barra.da.Lagoa.1-d2012inv","praia","winter"
"71","Banhado.do.Balneário-d2012inv","grass","winter"
"72","Capão.do.Fundo-d2012inv","grass","winter"
"73","Lagoa.do.Rincão-d2012inv","lagoa","winter"
"74","Trilha.Talhamar-d2012inv","grass","winter"
"75","Trilha.das.Figueiras-d2012inv","grass","winter"
"76","Praia.do.balneário-d2012ver","praia","summer"
"77","PNLP.Praia-d2012ver","praia","summer"
"78","PNLP..Barra.da.Lagoa.1-d2012ver","praia","summer"
"79","PNLP..Banhado.do.Balneário-d2012ver","grass","summer"
"80","Capão.do.Fundo-d2012ver","grass","summer"
"81","Lagoa.do.Rincão-d2012ver","lagoa","summer"
"82","Canal.da.lagoa..Barra.Falsa.-d2012ver","praia","summer"
"83","PNLP...Trilha.do.Talhamar-d2012ver","grass","summer"
"84","PNLP..Barra.da.Lagoa.2-d2012ver","praia","summer"
"85","Praia.do.balneário-d2013ver","praia","summer"
"86","PNLP.Praia-d2013ver","praia","summer"
"87","Capão.do.Fundo-d2013ver","grass","summer"
"88","PNLP..Banhado.do.Balneário-d2013ver","grass","summer"
"89","Trilha.da.Figueira-d2013ver","grass","summer"
"90","Lagoa.do.Rincão-d2013ver","lagoa","summer"
"91","PNLP...Trilha.do.Talhamar-d2013ver","grass","summer"
"92","Praia.do.balneário-d2014inv","praia","winter"
"93","PNLP.Praia-d2014inv","praia","winter"
"94","PNLP..Barra.da.Lagoa-d2014inv","praia","winter"
"95","PNLP..Banhado.do.Balneário-d2014inv","grass","winter"
"96","Capão.do.Fundo-d2014inv","grass","winter"
"97","Lagoa.do.Rincão-d2014inv","lagoa","winter"
"98","Trilha.da.Figueira-d2014inv","grass","winter"
"99","PNLP...Trilha.do.Talhamar-d2014inv","grass","winter"
"100","PLNP...Barra-d2015ver","praia","summer"
"101","Praia.do.balneário-d2015ver","praia","summer"
"102","PNLP.Praia-d2015ver","praia","summer"
"103","Capão.do.Fundo-d2015ver","grass","summer"
"104","PNLP...Banhado.do.Balneário-d2015ver","grass","summer"
"105","Trilha.da.Figueira-d2015ver","grass","summer"
"106","Lagoa.do.Rincão-d2015ver","lagoa","summer"
"107","PNLP...Trilha.do.Talhamar-d2015ver","grass","summer"
