order,species,mig,mass,bill.length,tarsus,bill.shape,insects,crabs,crustaceans,worms,snails,molluscs,herps,fish,plant,other,eggs,scavenging,diatoms,touch,sight,pecking,probing,jabbing,scything,foot.trembling,turning,hammering,swimming,diving,aerial,kleptoparasitism,dipping,skimming
Anseriformes,Amazonetta brasiliensis,res,594,35.75,35.775,straight,1,,,,,,,,1,,,,,,,1,,,1,,,,1,,,,1,
Anseriformes,Anas flavirostris,res,609,33.7,35.4,up,1,,1,,,,,,1,1,1,,,,,,,,1,,,,1,1,,,1,
Anseriformes,Anas georgica,res,745,33.5,36.5,up,1,,1,,,1,,,1,,,,,,,,,,1,,,,1,,,,1,
Anseriformes,Anas versicolor,res,435,38,31,straight,1,,1,,,1,,,1,,,,,,,,,,1,,,,1,1,,,1,
Gruiformes,Aramides ypecaha,res,765,71.75,80.8,straight,1,,1,,,1,1,1,1,,,,,,,1,1,,,,,,,,,,,
Gruiformes,Aramus guarauna,res,1137.5,123,128,down,,,,,1,1,1,,,,,,,1,1,1,1,,,,,,,,,,,
Pelecaniformes,Ardea alba,res,1200,122,178,straight,1,,1,,,,1,1,,1,,,,1,1,1,,1,,1,,,,1,,,1,
Pelecaniformes,Ardea cocoi,res,1940,144,183,straight,,1,,,,,,1,,,,1,,,1,1,,1,,,,,,,,1,,
Charadriiformes,Arenaria interpres,bor,137,22,25.65,straight,,,1,,,,,,1,1,1,1,,,,,,,,,1,,,,,,,
Charadriiformes,Bartramia longicauda,bor,162,28.85,48.3,straight,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
Pelecaniformes,Bubulcus ibis,res,380,50,76.5,straight,1,,1,,,,1,1,1,1,,1,,,,1,,1,,,,,,,1,,,
Pelecaniformes,Butorides striata,res,162,65.4,49.55,straight,1,1,1,1,,1,1,1,1,1,1,,,,1,1,,1,,1,,,,,1,,,
Charadriiformes,Calidris alba,bor,75,24.6,24.55,straight,1,1,1,1,1,1,,1,,1,1,1,,1,1,1,1,,,,,,,,,,,
Charadriiformes,Calidris canutus,bor,152.5,33.4,31.7,straight,1,1,1,,1,1,,,,,1,,,1,,,1,,,,,,,,,,,
Charadriiformes,Calidris fuscicollis,bor,45,23.65,24.2,down,1,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,
Charadriiformes,Calidris minutilla,bor,26,18.5,19,straight,1,,1,1,1,,,,,1,1,,,,,1,1,,,,,,,,,,,
Charadriiformes,Calidris pusilla,bor,30.5,19.4,21,straight,1,,1,1,1,1,,,,,1,,,1,1,1,1,,,,,,,,,,,
Anseriformes,Callonetta leucophrys,res,290,37.9,33,straight,1,,,,,,,,1,,,,,,,1,,,,,,,1,,,,1,
Charadriiformes,Charadrius collaris,res,34,15,25,straight,1,1,1,1,1,,,,1,,,,,,1,1,,,,,,,,,,,,
Charadriiformes,Charadrius falklandicus,aus,67,17.5,28,straight,1,,1,1,1,1,,,1,,,,,,1,1,,,,,,,,,,,,
Charadriiformes,Charadrius modestus,aus,82.5,18,30.9,straight,1,,1,1,,1,,,1,,,,,,1,1,,,,,,,,,,,,
Charadriiformes,Charadrius semipalmatus,bor,50.5,12.6,24.1,straight,1,,1,1,1,,,,1,1,,,,,1,1,1,,,1,,,,,,,,
Anseriformes,Chauna torquata,res,3550,,,straight,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,
Coraciiformes,Chloroceryle amazona,res,117.5,,,straight,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,
Coraciiformes,Chloroceryle americana,res,39,48.1,10.1,straight,1,,1,,,,1,1,,,,,,,1,,,,,,,,,1,,,,
Charadriiformes,Chroicocephalus cirrocephalus,aus,450,36.45,50.15,straight,1,,1,,,,,1,,1,,,,,1,,,,,,,,1,1,1,1,,
Charadriiformes,Chroicocephalus maculipennis,res,325.5,36,47,straight,1,1,1,1,,,,1,,1,,,,,1,1,,,,1,,,1,1,1,1,,
Ciconiiformes,Ciconia maguari,res,3800,227,250.5,straight,1,1,,1,,,1,1,,1,1,,,,1,1,,,,,,,,,,,,
Anseriformes,Coscoroba coscoroba,res,4200,68,98.5,straight,1,,,,,,,1,1,,,,,,,1,,,1,,,,1,,,,1,
Anseriformes,Cygnus melanocoryphus,res,6199.5,82.5,,straight,1,,,,,,,1,1,,,,,,,1,,,1,,,,1,,,,1,
Anseriformes,Dendrocygna bicolor,res,747.5,46.15,54.1,straight,,,,,,,,,1,,,,,,,1,,,1,,,,1,1,,,1,
Anseriformes,Dendrocygna viduata,res,661,47.55,52.75,straight,1,,1,,,1,,,1,,,,,,,,,,1,,,,1,1,,,1,
Pelecaniformes,Egretta thula,res,382.5,80.05,93.35,straight,1,1,1,1,,1,1,1,,,,1,,,,1,,,,1,,,,1,,1,,
Gruiformes,Fulica armillata,res,918,49.5,61.8,straight,,,,,,,,,1,,,,,,,1,,,,,,,1,1,,1,1,
Gruiformes,Fulica leucoptera,res,466.7,60,69.05,straight,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,1,
Charadriiformes,Gallinago paraguaiae,res,135,70.5,33.5,straight,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,
Gruiformes,Gallinula chloropus,res,383.5,25.4,49.45,straight,1,,1,1,,1,1,1,1,,1,,,,,1,,,1,,,,1,1,,,1,
Gruiformes,Gallinula melanops,res,189.5,28.05,34.55,straight,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,
Charadriiformes,Gelochelidon nilotica,res,225,39,32,straight,1,1,,1,,,1,1,,1,,,,,,1,,,,,,,,1,,1,1,
Charadriiformes,Haematopus palliatus,res,609.5,83.85,57.15,straight,1,1,1,1,1,1,,,,,,,,0,1,,1,1,,,,1,,,,,,
Charadriiformes,Himantopus mexicanus,res,217.5,64.4,108.1,straight,1,,1,1,1,1,1,1,1,,,,,,,1,1,,1,,,,1,,,,,
Charadriiformes,Jacana jacana,res,114.5,32,,straight,1,,,,,1,1,1,,,,,,,,1,,,,,1,,,,,,,
Charadriiformes,Larus dominicanus,res,1117.5,52.5,109,straight,1,,,1,,1,1,1,,1,1,1,,,,1,,,,1,,,1,1,,1,,
Charadriiformes,Limosa haemastica,bor,305.5,82,59.7,up,1,,1,1,1,1,,,1,,,,,,,1,1,,,,,,,,,,,
Coraciiformes,Megaceryle torquata,res,296,,,straight,1,1,,,,,1,1,,,,,,,1,,,,,,,,,1,,,,
Charadriiformes,Micropalama himantopus,bor,54,40.7,40.55,down,1,,,,1,,,,1,,,,,,,1,1,,,,,,,,,,1,
Ciconiiformes,Mycteria americana,res,2500,219.5,203.5,down,1,,1,,,,,1,,,,,,1,1,,1,,,1,,,,,,,,
Anseriformes,Netta peposaca,res,1078.9,60.15,43,straight,1,,,,,1,,,1,,,,,,,1,,,1,,,,,1,,,1,
Pelecaniformes,Nycticorax nycticorax,res,689,70.8,75,straight,1,,1,1,,1,1,1,,1,1,,,,,,,,,,,,,,,,,
Charadriiformes,Nycticryphes semicollaris,res,75.5,39,34.5,down,1,,1,,,,,,1,,,,,,,,1,,1,,,,,,,,,
Charadriiformes,Oreopholus ruficollis,aus,137,29,49,straight,1,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,
Charadriiformes,Phaetusa simplex,res,227.5,57,27,straight,1,,,,,,,1,,,,,,,,1,,,,,,,,1,1,1,1,1
Suliformes,Phalacrocorax brasilianus,res,1210,46.85,51.4,straight,1,,1,,,,1,1,,,,,,,,,,,,,,,1,1,,,,
Charadriiformes,Phalaropus tricolor,bor,80,32.25,32,straight,1,,1,,,,,,1,,,,,,,1,1,,,,,,1,,,,1,
Pelecaniformes,Phimosus infuscatus,res,546.5,115,96,down,1,,,1,,1,,,1,,,,,,,1,1,,,,,,,,,,,
Phoenicopteriformes,Phoenicopterus andinus,aus,2200,,,down,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,
Phoenicopteriformes,Phoenicopterus chilensis,aus,2300,107.8,243,down,1,,1,,1,,,,,,,,,,,,,,1,1,,,,,,,1,
Pelecaniformes,Platalea ajaja,res,1275,51.5,109,straight,1,,1,,1,1,,1,1,,,,,,,,,,1,,,,,,,,1,
Pelecaniformes,Plegadis chihi,res,620,122.5,96.15,down,1,,1,1,,,1,1,1,,,,,,,1,1,,,,,,,,,,,
Charadriiformes,Pluvialis dominica,bor,158,23.1,41.4,straight,1,,1,1,1,,,,1,,,,,,1,1,1,1,,,,,,,,,,
Charadriiformes,Pluvialis squatarola,bor,280,29,46.4,straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Podicipediformes,Podiceps major,res,1131,,,straight,1,1,1,,,1,,1,1,,,,,,,,,,,,,,1,1,,,,
Podicipediformes,Podilymbus podiceps,res,409,28,39.95,straight,1,1,1,1,,1,1,1,,,,,,,,,,,,,,,1,1,,,,
Charadriiformes,Rynchops niger,res,209,64,32.75,straight,,,1,,,,,1,,,,,,1,0,,,,,,,,,,,,,1
Charadriiformes,Sterna hirundinacea,bor,184,38.6,21.4,straight,1,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,
Charadriiformes,Sterna hirundo,bor,102,37.2,22.4,straight,1,1,1,,,,,1,,,,1,,,,,,,,,,,,1,1,1,,
Charadriiformes,Sterna sandvicensis,aus,220.5,53,44,straight,,,1,1,,,,1,,1,,1,,,,,,,,,,,,1,,1,,
Charadriiformes,Sterna trudeaui,res,153,40,25,straight,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,
Charadriiformes,Sternula superciliaris,res,48.5,32,16,straight,1,,1,,,,,1,,,,,,,,,,,,,,,,1,,,1,
Pelecaniformes,Syrigma sibilatrix,res,458,66,85,straight,1,,,1,,,1,1,,,,,,,,1,,,,,,,,,1,1,,
Podicipediformes,Tachybaptus dominicus,res,119,13.535,31.55,straight,1,,1,,,,1,1,1,,,,,,,1,,,,,,,1,1,,,,
Charadriiformes,Thalasseus maximus,res,440,66,33,straight,,1,1,,,,,1,,,,1,,,,1,,,,,,,,1,,1,,1
Pelecaniformes,Theristicus caerulescens,res,,142,85,down,1,,,,1,1,,1,,,,,,,,,1,,,,,,,,,,,
Charadriiformes,Tringa flavipes,bor,81,36.6,52.3,straight,1,,1,1,1,,,1,,,,,,,,1,1,,1,,,,,,,,,
Charadriiformes,Tringa melanoleuca,bor,173,55.5,63,straight,1,,1,1,,,,,,,,,,,,1,1,,1,,,,1,,,,,
Charadriiformes,Tringa semipalmatus,bor,274,59.1,60.7,straight,1,1,1,1,,1,,1,,,,1,,,,1,1,,1,,,,,,,,,
Charadriiformes,Tringa solitaria,bor,50,29.5,32,straight,1,,1,,,,1,,,,,,,,,1,1,,,1,,,,,,,,
Charadriiformes,Tryngites subruficollis,bor,74,19.3,30.45,straight,1,,1,1,,,,1,1,,,,,,,1,1,,,,,,,,,,,
Charadriiformes,Vanellus chilensis,res,381.5,30.5,70,straight,1,,,1,,,1,1,,,,,,0,1,,,1,,1,,,,,,,,
Podicipediformes,Rollandia rolland,res,336,,34,straight,1,,1,,,,,1,,,,,,,,,,,,,,,1,1,,,1,
Charadriiformes,Sterna vittata,aus,165,35.9,18.6,straight,1,,1,1,,1,,1,,,,1,,,,1,,,,,,,,1,,,,
