"","Amazonetta brasiliensis","Anas flavirostris","Anas georgica","Anas versicolor","Aramus guarauna","Ardea alba","Ardea cocoi","Bubulcus ibis","Calidris alba","Calidris canutus","Calidris fuscicollis","Charadrius collaris","Charadrius falklandicus","Charadrius semipalmatus","Chauna torquata","Chroicocephalus maculipennis","Ciconia maguari","Coscoroba coscoroba","Cygnus melanocoryphus","Dendrocygna bicolor","Dendrocygna viduata","Egretta thula","Fulica leucoptera","Gallinula chloropus","Haematopus palliatus","Himantopus mexicanus","Jacana jacana","Larus dominicanus","Mycteria americana","Netta peposaca","Nycticorax nycticorax","Phalacrocorax brasilianus","Phimosus infuscatus","Phoenicopterus chilensis","Platalea ajaja","Plegadis chihi","Pluvialis dominica","Podiceps major","Podilymbus podiceps","Rollandia rolland","Rynchops niger","Sterna hirundinacea","Sterna hirundo","Sterna sandvicensis","Sterna trudeaui","Sternula superciliaris","Syrigma sibilatrix","Thalasseus maximus","Tringa flavipes","Tringa melanoleuca","Vanellus chilensis"
"Amazonetta brasiliensis",0,0.419087139040812,0.339440512526404,0.311086011551513,0.767965255925153,0.61111523875626,0.727597116456556,0.547780685151789,0.633084348328409,0.646436615007599,0.703942666015772,0.553901005178056,0.53516640806856,0.581481964978514,0.307237497619587,0.553811005373537,0.683607801464777,0.191634428781531,0.19330595210604,0.256901414572601,0.321695289750881,0.642667629399046,0.405372150180071,0.343328581246465,0.658220966467236,0.449878468346365,0.572729764948262,0.596608309293255,0.794642120104038,0.274566691627464,0.674123639975466,0.56349432484661,0.581579206196182,0.644852973788806,0.445386869355671,0.638354651183895,0.515987501012503,0.509505967092171,0.574693234842577,0.702847958160933,0.619870616378421,0.64353285911775,0.700147474294137,0.591362897935115,0.584340628962162,0.592493829177453,0.649921141290832,0.52185290323789,0.432899827373132,0.631999710611127,0.464216283806799
"Anas flavirostris",0.419087139040812,0,0.254325141480397,0.262868049264185,0.836253969983704,0.60876903217989,0.86017154480082,0.601788459113236,0.670351189825415,0.650766948568096,0.688431729735,0.70505673556395,0.686322138454454,0.63938372711044,0.756439072637326,0.562183858700063,0.782452071078883,0.521034253951192,0.550598614409792,0.441856795297818,0.273317337142765,0.703421435106525,0.59112595588755,0.360863487034572,0.716721320737427,0.607854496276066,0.773770435977844,0.612119245574028,0.768486389718144,0.470633183463792,0.647967909589572,0.519878277000398,0.722094916665565,0.618697243402912,0.516453361191999,0.692754476353556,0.644368967647171,0.561485319887687,0.532042955445499,0.732407773651384,0.593874876313315,0.65245775397328,0.635107629207965,0.648700491203343,0.538274137125833,0.758803190440487,0.68741746471779,0.657606708945369,0.579764744191721,0.73934943121405,0.430989610687325
"Anas georgica",0.339440512526404,0.254325141480397,0,0.18385985741125,0.776716399734435,0.700025112724272,0.856189530107107,0.651878662731542,0.707666537852461,0.636891820404667,0.595191522206491,0.69118160740052,0.593081930925945,0.690984789423201,0.716652568611021,0.647988348032655,0.856247834162947,0.444830017035257,0.474303029583379,0.487874780604105,0.189831977514753,0.689225924439117,0.643597111886808,0.411139664395294,0.650383133694872,0.521436763386436,0.708399354137591,0.686840934584018,0.742282152802208,0.394428946547856,0.683524692652544,0.583356579767002,0.619804167902919,0.559159673153643,0.359693568720508,0.676795378980321,0.622687473050221,0.541143260305826,0.559170984658073,0.72562180402067,0.659311128904824,0.688528927199709,0.740753388381826,0.725247854905962,0.603367262930658,0.755321965487365,0.725472764928346,0.637061991928754,0.537791455746535,0.735525079474243,0.49763882591451
"Anas versicolor",0.311086011551513,0.262868049264185,0.18385985741125,0,0.786643956742654,0.57900028878011,0.782783753781993,0.561247495657694,0.614405647510909,0.54498380356547,0.585263965198272,0.597920717058968,0.499821040584393,0.597723899081649,0.567211292693088,0.518807226288884,0.782842057837833,0.421424240710143,0.419831756480514,0.347802337612324,0.0292628794572707,0.556928090698602,0.488551245991309,0.261107464391143,0.570550460935531,0.45302781853481,0.590648405018233,0.571768491592238,0.752209709810427,0.254356503556075,0.607617155607781,0.426617470108555,0.619811823475839,0.602420563495195,0.341843347950949,0.680842875810919,0.539321939712737,0.30836865105456,0.392472117987256,0.628422454838801,0.475451271493575,0.541609893901467,0.594566665752422,0.541387997494713,0.426773039255772,0.666340321559708,0.587433379879076,0.559705814203622,0.469382510894909,0.652159546136758,0.292576032395079
"Aramus guarauna",0.767965255925153,0.836253969983704,0.776716399734435,0.786643956742654,0,0.657906272219526,0.70725090815045,0.700755852313213,0.601049604253563,0.600116156647038,0.721114271147275,0.70797737221432,0.635671346533396,0.652224998681446,0.703103617486415,0.788173827279606,0.603605508502586,0.729261823308039,0.762650277850052,0.755508285796997,0.757381077285383,0.650500241532129,0.720314932973567,0.712051460223703,0.616887146600774,0.50858514945856,0.634082321138047,0.64873789901285,0.598899086401107,0.671176342075467,0.71606383817191,0.750893513218949,0.300165466600148,0.634491496549008,0.686549205226797,0.310166160296814,0.594152778385081,0.791850135263223,0.760970949564794,0.837244563329967,0.866747708456072,0.875872898263168,0.832877572508861,0.863964034505169,0.902305884887315,0.656017920897232,0.768655021308022,0.584503542596866,0.65789229800522,0.770407375974657,0.857351100050444
"Ardea alba",0.61111523875626,0.60876903217989,0.700025112724272,0.57900028878011,0.657906272219526,0,0.529180290398708,0.363350279588764,0.636263079148162,0.715223811435817,0.836221925936054,0.702846931765004,0.684112334655508,0.607279743417314,0.579168945254732,0.447593651380554,0.480032245248199,0.515143800574129,0.510401276981624,0.595483665453501,0.54973740932284,0.407142287855299,0.530925233264992,0.477952765806133,0.601042420437172,0.537713968268503,0.546021348853663,0.415300580256656,0.527177674998571,0.517500928081178,0.509081545870742,0.409791363500912,0.685775766891573,0.551188398932656,0.526796261857967,0.533313815621188,0.596826570739998,0.488007029717129,0.549359027633996,0.631188196954725,0.527358008747497,0.594816531887926,0.545868825181238,0.59124100146326,0.496249518512073,0.507898062458498,0.557043099377225,0.591145588920036,0.5990581538522,0.453239898488304,0.449589661618591
"Ardea cocoi",0.727597116456556,0.86017154480082,0.856189530107107,0.782783753781993,0.70725090815045,0.529180290398708,0,0.502054379511282,0.623115327218827,0.754986112416535,0.92360327453582,0.725942566079056,0.754827016588608,0.801142573498562,0.602678815667855,0.581932671937992,0.521486875484412,0.588468882020881,0.581916834112539,0.709981416169669,0.753520874324722,0.468068610000039,0.688676952235128,0.703561627633412,0.632868213481383,0.656179972952926,0.65153432744433,0.535750711925205,0.686092622695101,0.697474869273536,0.69368511669273,0.67838850589566,0.72963859697282,0.769660462706088,0.671099135989774,0.678131354161549,0.671244956376801,0.572830492637339,0.689650429143815,0.666717693702639,0.723998616606522,0.538679361969173,0.573461813992645,0.693437164877841,0.759556793037765,0.535491051269904,0.375905929458472,0.683817942810808,0.717524158536622,0.633213839680663,0.688739061379357
"Bubulcus ibis",0.547780685151789,0.601788459113236,0.651878662731542,0.561247495657694,0.700755852313213,0.363350279588764,0.502054379511282,0,0.492970519617118,0.652931732905254,0.729485402961047,0.57944374212333,0.560709145013834,0.551469146368233,0.543761160111817,0.443370355918774,0.551583583038021,0.507361533106098,0.531217840568134,0.593079389738656,0.545380018550123,0.442980478505952,0.567204199093472,0.472700245998971,0.575742879375055,0.460563391660184,0.499897241565533,0.4645840908665,0.685766049825431,0.56329257266195,0.501632534458977,0.476906314642249,0.636701496824175,0.740738808272103,0.530955243521508,0.485827787254494,0.463238195913138,0.53491851847329,0.556088137255449,0.597941214513468,0.557658522809526,0.479482125315035,0.495401273897763,0.610430404414178,0.593216699240769,0.404658566336616,0.512009521923792,0.531366737902701,0.54529514948094,0.474142729975533,0.535381020079412
"Calidris alba",0.633084348328409,0.670351189825415,0.707666537852461,0.614405647510909,0.601049604253563,0.636263079148162,0.623115327218827,0.492970519617118,0,0.361250907923985,0.593080539909585,0.416361599761751,0.40449323510103,0.359508727761216,0.645711656924263,0.456923396021576,0.552803260904297,0.680274332665496,0.685172556921832,0.697922270837518,0.643668526968179,0.45610491827699,0.686290226835551,0.485486840518556,0.472257695748027,0.441201828532376,0.502470173200863,0.481676784605792,0.738837579543558,0.629873262178095,0.533133914229801,0.652134228730575,0.545328582097859,0.805715099894993,0.611804551017413,0.528004656077961,0.396237787224889,0.586869015285735,0.512300876910991,0.645286522405077,0.587066188284827,0.48258140044436,0.508912772485442,0.618567051229875,0.583083008892446,0.595031683356331,0.510172360723318,0.350408495519131,0.487601750692787,0.630642228278905,0.600716052388776
"Calidris canutus",0.646436615007599,0.650766948568096,0.636891820404667,0.54498380356547,0.600116156647038,0.715223811435817,0.754986112416535,0.652931732905254,0.361250907923985,0,0.620998114500237,0.554289786995854,0.535555189886358,0.498537413462979,0.719816631658443,0.581783599208702,0.735996797424757,0.7329123136304,0.738828880486872,0.717623743865914,0.572893809520385,0.591150306649301,0.725039318911566,0.569456786333795,0.384022660839915,0.511769102426573,0.59109572545632,0.648997305253235,0.643459687492589,0.62893981457157,0.605216339639149,0.64088332080659,0.589633229729429,0.722241969748786,0.583886976426762,0.610188091588319,0.449837527417684,0.564148593194519,0.546400952956406,0.643823974269452,0.590507930762721,0.543872931213972,0.658772975672568,0.63149030582212,0.611713537764087,0.696743738395308,0.609238913116793,0.458488161984411,0.525557191975151,0.67092347863306,0.591117919403961
