sp,Lagoa do Papagaio,Granja do Pântano,Caieira,Capão do Fundo,Lagoa do Rincão,Banhado da Alemoa,Canal da Lagoa,PNLP - Banhado do balneário, PNLP - Lagoa do meio,PNLP - Trilha do Talhamar,PNLP - Barra da Lagoa,PNLP - praia,PNLP - Figueiras
PODICIPEDIDAE,,,,,,,,,,,,,
Rollandia rolland,0,0,1,0,3,0,0,0,0,0,0,0,0
Tachybaptus dominicus,0,0,0,0,0,0,0,0,0,0,0,0,0
Podilymbus podiceps,1,1,0,1,0,0,0,2,0,0,0,0,0
Podiceps major,0,0,0,2,0,0,1,1,1,0,0,0,2
PHALACROCORACIDAE,,,,,,,,,,,,,
Phalacrocorax brasiliensis,3,0,4,0,0,0,3,0,10,0,0,0,7
ANHINGIDAE,,,,,,,,,,,,,
Anhinga anhinga,0,0,0,0,0,0,0,0,0,0,0,0,0
ARDEIDAE,,,,,,,,,,,,,
Ardea cinerea,0,0,0,0,0,0,0,0,0,0,0,0,0
Ardea cocoi,0,0,0,4,4,0,1,0,3,1,0,1,1
Casmerodius  albus,2,0,0,26,4,5,1,3,0,0,0,0,20
Ardea ibis,0,0,0,0,1,0,0,0,0,0,0,0,0
Butorides striatus,0,0,0,0,0,0,0,0,0,0,0,0,0
Egretta tricolor,0,0,0,0,0,0,0,0,0,0,0,0,0
Egretta caerulea,0,0,0,0,0,0,0,0,0,0,0,0,0
Egretta thula,0,0,0,0,0,0,0,1,0,0,0,1,1
Syrigma sibilatrix,0,0,0,0,0,0,0,0,0,0,0,0,0
Pilherodius pileatus,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyctanassa violacea,0,0,0,0,0,0,0,0,0,0,0,0,0
Nycticorax nycticorax,0,0,0,4,0,0,0,0,0,0,0,0,0
Botaurus pinnatus,0,0,0,0,0,0,0,0,0,0,0,0,0
Ixobrychus involucris,0,0,0,0,0,0,0,0,0,0,0,0,0
Ixobrychus exilis,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigrisoma lineatum,0,0,0,0,0,0,0,0,0,0,0,0,0
Agamia agamia,0,0,0,0,0,0,0,0,0,0,0,0,0
Cochlearius cochlearius,0,0,0,0,0,0,0,0,0,0,0,0,0
CICONIIDAE,,,,,,,,,,,,,
Mycteria americana,0,0,0,0,0,0,0,0,0,0,0,0,0
Ciconia maguari,0,1,0,6,1,0,0,8,2,0,0,0,0
Jabiru mycteria,0,0,0,0,0,0,0,0,0,0,0,0,0
THRESKIORNITIDAE,,,,,,,,,,,,,
Theristicus caerulescens,0,0,0,0,0,0,1,0,0,0,0,0,0
Theristicus caudatus,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesembrinibis cayennensis,0,0,0,0,0,0,0,0,0,0,0,0,0
Phimosus infuscatus,0,4,0,2,0,0,1,5,0,0,0,0,0
