sp,TOTAL,Lagoa do Papagaio,Granja do Pântano,Caieira,Capão do Fundo,Lagoa do Rincão,Banhado da Alemoa,Lagoa do Sangradouro,Canal da Lagoa,PNLP - Banhado do balneário,PNLP - Trilha do Talhamar,PNLP - Barra da Lagoa,PNLP - praia,PNLP - Figueiras
PODICIPEDIDAE,,,,,,,,,,,,,,
Rollandia rolland,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tachybaptus dominicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Podilymbus podiceps,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Podiceps major,1,0,0,0,1,0,0,0,0,0,0,0,0,0
PHALACROCORACIDAE,, , , , , , , , , , , , , 
Phalacrocorax brasiliensis,186,0,1,0,1,0,0,2,0,0,9,173,0,0
ANHINGIDAE,, , , , , , , , , , , , , 
Anhinga anhinga,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARDEIDAE,, , , , , , , , , , , , , 
Ardea cinerea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ardea cocoi,6,0,0,1,0,1,0,0,0,0,1,2,1,0
Casmerodius  albus,28,0,3,8,3,1,0,0,0,1,4,0,0,8
Ardea ibis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butorides striatus,2,0,0,0,0,0,0,2,0,0,0,0,0,0
Egretta tricolor,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egretta caerulea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egretta thula,54,0,1,4,1,0,0,40,6,1,0,0,1,0
Bubulcus ibis,,0,4,20,1,23,0,0,0,0,0,0,0,0
Syrigma sibilatrix,4,0,0,0,0,3,0,0,0,1,0,0,0,0
Pilherodius pileatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyctanassa violacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nycticorax nycticorax,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Botaurus pinnatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ixobrychus involucris,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ixobrychus exilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigrisoma lineatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agamia agamia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cochlearius cochlearius,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CICONIIDAE,, , , , , , , , , , , , , 
Mycteria americana,7,3,0,0,0,0,0,0,0,4,0,0,0,0
Ciconia maguari,9,2,1,3,0,0,0,1,2,0,0,0,0,0
