sp,PARNA Praia,PARNA Barra da Lagoa
Phalacrocorax brasilianus,2,8
Ardea cocoi,4,1
Ardea alba,0,15
Egretta thula,1,4
Phoenicopterus chilensis,31,0
Haematopus paliatus,155,0
Himantopus himantopus,29,2
Charadrius collaris,0,3
Charadrius falklandicus,60,0
Charadrius semipalmatus,20,10
Pluvialis squatarola,41,0
Calidris alba,82,0
Vanellus chilensis,0,20
Larus dominicanus,16,0
Chroicocephalus maculipennis,118,9
Sternula superciliaris,4,2
Larus dominicanus,1,0
Phaetusa simplex,1,3
Sterna trudeaui,86,0
Sterna hirundinacea,173,0
Thalasseus maximus,2,0
Sterna spp.,4,0
Pluvialis spp.,2,0
