sp,Praia do balneário,Praia Parna -PNLP,Barra da Lagoa 1,Banhado do Balneário,Capão do Fundo,Lagoa do Rincão,Trilha Talhamar,Trilha das Figueiras
RHEIDAE,,,,,,,,
Rhea americana,,,,,,,30,
PODICIPEDIDAE (Mergulhões),,,,,,,,
Podiceps major,,,,,1,,,
Rollandia rolland,,,,,1,,,
Podilymbus podiceps,,,,4,,,,
PHALACROCORACIDAE (Biguá),,,,,,,,
Phalacrocorax brasiliensis,,,3,,1,4147,3,
"ARDEIDAE (Garças, Socós)",,,,,,,,
Ardea cocoi,,3,,1,,4,2,4
Ardea alba,,,3,3,41,5,3,2
Bubulcus ibis,,,,,,,5,
Egretta thula,4,,,4,1,1,2,2
Syrigma sibilatrix,,,,1,,,,
"CICONIIDAE (João Grande, Jaburú)",,,,,,,,
Mycteria americana,,,,,,,,
Ciconia maguari,,,1,7,2,3,,
"THRESKIORNITHIDAE (Maçaricos, Colhereiro)",,,,,,,,
Phimosus infuscatus,,,,4,1,14,4,
Plegadis chihi,,,,28,349,4026,194,
Ajaia ajaja,,,,,,,4,
PHOENICOPTERIDAE (Flamingos),,,,,,,,
Phoenicopterus chilensis,,,1214,,,,2,
Phoenicopteridae spp.,,,61,,,,,
Phoenicoparrus andinus,,,3,,,,,
ANHIMIDAE (Tachã e Anhuma),,,,,,,,
Chauna torquata,,,,18,,,2,
"ANATIDAE (Marrecas, Cisnes, Patos)",,,,,,,,
Dendrocygna bicolor,,,,,6,,,
Dendrocygna viduata,,,,,904,,,
Coscoroba coscoroba,,,31,,13,,23,
Amazonetta brasiliensis,,,,6,3,11,2,2
Anas flavirostris,,,,,1,,,
Anas versicolor,,,,4,2,,2,
Anas georgica,,,,,7,,15,4
Cygnus melancoryphus,,,,,7,,46,
ARAMIDAE (Carão),,,,,,,,
Aramus guarauna,,,,2,20,1,,
JACANIDAE (Jaçanã),,,,,,,,
Jacana jacana,,,,,28,7,,
HAEMATOPODIDAE (Piru-piru),,,,,,,,
Haematopus palliatus,174,218,23,,,,,
RECURVIROSTRIDAE (Pernilongo),,,,,,,,
Himantopus melanurus,,,2,,18,,96,2
"RALLIDAE (Saracuras, Frangos-d’água)",,,,,,,,
Gallinula chloropus,,,,10,63,94,,
Fulica sp.,,,,,549,,,
Pardirallus nigricans,,,,,,3,,
Aramides ypecaha,,,,,1,,,
"CHARADRIIDAE (Batuiruçus, Batuíras)",,,,,,,,
Vanellus chilensis,,,,13,30,,72,12
Charadrius semipalmatus,26,24,1,,,,,
Charadrius collaris,1,3,4,,,,10,1
Charadrius falklandicus,6,19,,,,,,
Zonibyx modestus,,,,,,,79,11
"SCOLOPACIDAE (Maçaricos, Narcejas)",,,,,,,,
Tringa melanoleuca,,,,,,,11,
Tringa flavipes,30,48,1,,,,29,
Tringa solitaria,23,11,,,,,,
Tringa  sp.,1,,,,,,,
Calidris alba,119,315,72,,,,,
Calidris minutilla,,,,,,,,
Calidris fuscicollis,6,,,,,,,
Calidris pusilla,,,,,,,,
Tryngites subruficollis,22,,,,,,,
Gallinago paraguaiae,,,,,,,11,2
Bartramia longicauda,22,,,,,,,
"LARIDAE (Gaivotas, Trinta-réis)",,,,,,,,
Larus dominicanus,39,3,,,,,,
Larus maculipennis,72,22,,6,1,,,
Larus sp.,1,,,,,,,
Chroicocephalus cirrocephalus,8,,,,,,8,
Sterna hirundinacea,2453,915,,,,,,
Sternula superciliaris,1,,,1,,,7,
RHYNCHOPIDAE (Talha-mar),,,,,,,,
Rynchops niger,67,57,152,,,13,,
"ACCIPITRIDAE (Águias, Gaviões)",,,,,,,,
Circus buffoni,,,,2,,,,
Rostrhamus sociabilis,,,,2,,,,
ALCEDINIDAE,,,,,,,,
Chloroceryle amazona,,,1,1,,,,
,3075,1638,1572,117,2050,8329,662,42
