sp,Praia do balneário,PNLP-Praia,PNLP -Barra da Lagoa 1,PNLP- Banhado do Balneário,Capão do Fundo,Lagoa do Rincão,Canal da lagoa (Barra Falsa),PNLP - Trilha do Talhamar,PNLP -Barra da Lagoa 2
PODICIPEDIDAE (Mergulhões),,,,,,,,,
Podiceps major,,,,,,4,,,
PHALACROCORACIDAE (Biguá),,,,,,,,,
Phalacrocorax brasiliensis,,1,5,,9,25,1,4,
"ARDEIDAE (Garças, Socós)",,,,,,,,,
Ardea cocoi,1,4,3,1,1,1,1,1,
Casmerodius albus,,,,4,7,21,4,,
Ardea ibis,,,,6,,16,25,,
Butorides striatus,,,,,1,,,,
Egretta thula,,,78,5,2,29,1,1,600
Nycticorax nycticorax,,,,,1,,,,
Ardeidae spp.,,,,,,,,,12
"CICONIIDAE (João Grande, Jaburú)",,,,,,,,,
Mycteria americana,,,,,,20,,2,
Ciconia maguari,,,,2,1,7,1,,
"THRESKIORNITHIDAE (Maçaricos, Colhereiro)",,,,,,,,,
Phimosus infuscatus,,,,6,5,13,1,3,
Plegadis chihi,,,,2,,201,16,21,
Ajaia ajaja,,,,,,19,,39,
PHOENICOPTERIDAE (Flamingos),,,,,,,,,
Phoenicopterus chilensis,,,,,,,,76,
Phoenicopteridae spp.,,,12,,,,,,240
ANHIMIDAE (Tachã e Anhuma),,,,,,,,,
Chauna torquata,,,2,8,2,7,3,,
"ANATIDAE (Marrecas, Cisnes, Patos)",,,,,,,,,
Dendrocygna bicolor,,,,,,11,,,
Dendrocygna viduata,,,,3,69,84,,,
Coscoroba coscoroba,,,141,,2,13,,25,
Amazonetta brasiliensis,,,,4,14,12,,,
Anas flavirostris,,,,,,18,,,
Anas versicolor,,,,,13,18,,,
ARAMIDAE (Carão),,,,,,,,,
Aramus guarauna,,,,,1,,,,
JACANIDAE (Jaçanã),,,,,,,,,
Jacana jacana,,,,7,,1,,,
HAEMATOPODIDAE (Piru-piru),,,,,,,,,
Haematopus palliatus,240,14,1414,,,,,,2
RECURVIROSTRIDAE (Pernilongo),,,,,,,,,
Himantopus melanurus,,,,2,,27,,42,
"RALLIDAE (Saracuras, Frangos-d’água)",,,,,,,,,
Gallinula chloropus,,,,,,2,,,
Fulica leucoptera,,,,,75,11,,,
Fulica spp.,,,,,7,,1,,
"CHARADRIIDAE (Batuiruçus, Batuíras)",,,,,,,,,
Vanellus chilensis,1,,2,,,,,,
Pluvialis dominica,51,8,,,,,,20,10
Charadrius semipalmatus,31,3,,,,,,,8
Charadrius collaris,10,10,,,,,,,
"SCOLOPACIDAE (Maçaricos, Narcejas)",,,,,,,,,
Tringa melanoleuca,1,,7,,,,,,24
Tringa flavipes,,,,,,,,21,
Tringa solitaria,,,,,,,,17,
Calidris canutus,1286,5,,,,,,,
Calidris alba,1358,4408,,,,,,,4
Calidris minutilla,,,,,,,,,24
Calidris fuscicollis,40,108,,,,,,70,
Tryngites subruficollis,,,,,,,,114,
"LARIDAE (Gaivotas, Trinta-réis)",,,,,,,,,
Larus dominicanus,1211,891,55,,,7,,8,
Larus maculipennis,41,2,42,,,11,,39,100
Larus spp.,,,1,,,,,,
Sterna trudeaui,2,26,,,,,,,
Sterna superciliaris,3,32,,,,9,,,
Sterna eurygnatha,107,24,,,,,,,
Sterna spp.,2,,,,,,,,
RHYNCHOPIDAE (Talha-mar),,,,,,,,,
Rynchops niger,27,,3,,,,,160,
"ACCIPITRIDAE (Águias, Gaviões)",,,,,,,,,
Circus buffoni,,,,2,,,,,
Rostrhamus sociabilis,,,,,5,3,,,
"FALCONIDAE (Gaviões, Falcões)",,,,,,,,,
Milvago chimango,2,,,,,,3,,
