sp,Praia do balneário,PNLP-Praia,Capão do Fundo,PNLP- Banhado do Balneário,Trilha da Figueira,Lagoa do Rincão,PNLP - Trilha do Talhamar
Espécie,,,,,,,
PODICIPEDIDAE,,,,,,,
Rollandia rolland,,,,1,,,
Tachybaptus dominicus,,,,,,,
Podilymbus podiceps,,,,1,,,2
Podiceps major,,,,,,,
,,,,,,,
PHALACROCORACIDAE,,,,,,,
Phalacrocorax brasiliensis,1,,,,,16,
,,,,,,,
ANHINGIDAE,,,,,,,
Anhinga anhinga,,,,,,,
,,,,,,,
ARDEIDAE,,,,,,,
Ardea cinerea,,,,,,,
Ardea cocoi,2,,1,3,,1,1
Casmerodius  albus,4,,,4,,2,4
Ardea ibis,,,,3,,,1
Butorides striatus,,,,,,,
Egretta tricolor,,,,,,,
Egretta caerulea,,,,,,,
Egretta thula,4,,,1,3,,8
Syrigma sibilatrix,,,,,,,
Nyctanassa violacea,,,,,,,
Nycticorax nycticorax,,,1,,,,
Botaurus pinnatus,,,,,,,
Ixobrychus involucris,,,,,,,
Ixobrychus exilis,,,,,,,
Tigrisoma fasciatum,,,,,,,
Tigrisoma lineatum,,,,,,,
Cochlearius cochlearius,,,,,,,
,,,,,,,
CICONIIDAE,,,,,,,
Mycteria americana,,,,,,,
Ciconia maguari,,,,2,1,2,5
,,,,,,,
THRESKIORNITIDAE,,,,,,,
Theristicus caerulescens,,,,,,,
Theristicus caudatus,,,,,,,
Mesembrinibis cayennensis,,,,,,,
Phimosus infuscatus,,,8,6,,,
Eudocimus ruber,,,,,,,
Plegadis chihi,,,1,5,,215,18
Ajaja ajaja,,,,,,1,
,,,,,,,
PHOENICOPTERIDAE,,,,,,,
Phoenicopterus ruber,,,,,4,,
Phoenicopterus chilensis,,,,,43,5,4
,,,,,,,
ANHIMIDAE,,,,,,,
Chauna torquata,,,,1,,6,
,,,,,,,
ANATIDAE,,,,,,,
Dendrocygna bicolor,,,,,,,
Dendrocygna viduata,,,,,,,
Dendrocygna autumnalis,,,,,,,
Cygnus melanocorypha,,,,,,,45
Coscoroba coscoroba,,,,8,,10,124
Cairina moschata,,,,,,,
Sarkidiornis melanotos,,,,,,,
Callonetta leucophrys,,,,,,,
Amazonetta brasiliensis,,,18,14,,21,4
Anas sibilatrix,,,,,,,
Anas flavirostris,,,4,,,,2
Anas georgica,,,,13,2,,2
Anas bahamensis,,,,,,,
Anas versicolor,,,22,6,,2,
Anas discors,,,,,,,
Anas cyanoptera,,,,,,,
Anas platalea,,,,,,,
Netta erythrophthalma,,,,,,,
Netta peposaca,,,6,,,,
Heteronetta atricapilla,,,,,,,
Oxyura dominica,,,,,,,
Oxyura vittata,,,,,,,
,,,,,,,
ARAMIDAE,,,,,,,
Aramus guarauna,,,3,1,,1,1
,,,,,,,
RALLIDAE,,,,,,,
Coturnicops notatus,,,,,,,
Anurolimnas viridis,,,,,,,
Anurolimnas fasciatus,,,,,,,
Laterallus melanophaius,,,,,,,
