sp,PLNP – Barra,Praia do balneário,PNLP-Praia,Capão do Fundo,PNLP – Banhado do Balneário,Trilha da Figueira,Lagoa do Rincão,PNLP – Trilha do Talhamar
PODICIPEDIDAE,,,,,,,,
Rollandia rolland,0,0,0,1,0,0,0,1
Tachybaptus dominicus,0,0,0,0,0,0,0,0
Podilymbus podiceps,0,0,0,0,0,0,0,0
Podiceps major,0,0,0,1,0,0,0,0
,,,,,,,,
PHALACROCORACIDAE,,,,,,,,
Phalacrocorax brasiliensis,53,0,1,2,0,0,9,11
,,,,,,,,
ANHINGIDAE,,,,,,,,
Anhinga anhinga,0,0,0,0,0,0,0,0
,,,,,,,,
ARDEIDAE,,,,,,,,
Ardea cinerea,0,0,0,0,0,0,0,0
Ardea cocoi,1,0,2,0,1,0,6,1
Casmerodius  albus,0,0,0,2,0,0,7,4
Ardea ibis,0,0,0,0,0,0,17,4
Butorides striatus,0,0,0,0,0,0,0,0
Egretta tricolor,0,0,0,0,0,0,0,0
Egretta caerulea,0,0,0,0,0,0,0,0
Egretta thula,197,0,0,2,16,0,5,16
Syrigma sibilatrix,0,0,0,0,0,0,1,0
Nyctanassa violacea,0,0,0,0,0,0,0,0
Nycticorax nycticorax,0,0,0,0,0,0,0,0
Botaurus pinnatus,0,0,0,0,0,0,0,0
Ixobrychus involucris,0,0,0,0,0,0,0,0
Ixobrychus exilis,0,0,0,0,0,0,0,0
Tigrisoma fasciatum,0,0,0,0,0,0,0,0
Tigrisoma lineatum,0,0,0,0,0,0,0,0
Cochlearius cochlearius,0,0,0,0,0,0,0,0
,,,,,,,,
CICONIIDAE,,,,,,,,
Mycteria americana,0,0,0,0,0,0,8,0
Ciconia maguari,0,0,0,0,0,0,10,2
,,,,,,,,
THRESKIORNITIDAE,,,,,,,,
Theristicus caerulescens,0,0,0,0,0,0,0,0
Theristicus caudatus,0,0,0,0,0,0,0,0
Mesembrinibis cayennensis,0,0,0,0,0,0,0,0
Phimosus infuscatus,0,0,0,4,10,0,10,1
Eudocimus ruber,0,0,0,0,0,0,0,0
Plegadis chihi,0,6,0,1,15,0,116,22
Ajaja ajaja,0,0,0,0,0,0,8,12
,,,,,,,,
PHOENICOPTERIDAE,,,,,,,,
Phoenicopterus ruber,0,0,0,0,0,0,0,0
Phoenicopterus chilensis,114,0,0,0,0,0,0,0
,,,,,,,,
ANHIMIDAE,,,,,,,,
Chauna torquata,0,0,0,2,17,0,7,2
,,,,,,,,
ANATIDAE,,,,,,,,
Dendrocygna bicolor,0,0,0,0,0,0,0,0
Dendrocygna viduata,0,0,0,8,3,0,406,0
Dendrocygna autumnalis,0,0,0,0,0,0,0,0
Cygnus melanocorypha,0,0,0,0,0,0,0,0
Coscoroba coscoroba,0,0,0,0,0,0,0,101
