"x"
"Amazonetta brasiliensis"
"Anas flavirostris"
"Anas georgica"
"Anas versicolor"
"Anhima cornuta"
"Anurolimnas fasciatus"
"Aramides ypecaha"
"Aramus guarauna"
"Ardea alba"
"Ardea cocoi"
"Arenaria interpres"
"Bartramia longicauda"
"Bubulcus ibis"
"Butorides striata"
"Calidris alba"
"Calidris canutus"
"Calidris fuscicollis"
"Calidris minutilla"
"Callonetta leucophrys"
"Casmerodius albus"
"Charadrius collaris"
"Charadrius falklandicus"
"Charadrius modestus"
"Charadrius semipalmatus"
"Chauna torquata"
"Chloroceryle amazona"
"Chloroceryle americana"
"Chroicocephalus cirrocephalus"
"Chroicocephalus maculipennis"
"Ciconia maguari"
"Coscoroba coscoroba"
"Cygnus melanocoryphus"
"Dendrocygna bicolor"
"Dendrocygna viduata"
"Egretta thula"
"Fulica armillata"
"Fulica leucoptera"
"Gallinago paraguaiae"
"Gallinula chloropus"
"Gallinula melanops "
"Gelochelidon nilotica"
"Haematopus palliatus"
"Himantopus himantopus"
"Himantopus mexicanus"
"Jabiru mycteria"
"Jacana jacana"
"Larus dominicanus"
"Megaceryle torquata"
"Mycteria americana"
"Netta peposaca"
"Nycticorax nycticorax"
"Phaetusa simplex"
"Phalacrocorax brasilianus"
"Phimosus infuscatus"
"Phoenicopterus andinus"
"Phoenicopterus chilensis"
"Phoenicopterus ruber"
"Platalea ajaja"
"Plegadis chihi"
"Pluvialis dominica"
"Pluvialis squatarola"
"Podiceps major"
"Podilymbus podiceps"
"Porphyriops melanops"
"Rynchops niger"
"Sterna hirundinacea"
"Sterna hirundo"
"Sterna sandvicensis"
"Sterna trudeaui"
"Sternula superciliaris"
"Syrigma sibilatrix"
"Tachybaptus dominicus"
"Thalasseus maximus"
"Theristicus caerulescens"
"Tringa flavipes"
"Tringa melanoleuca"
"Tringa semipalmatus"
"Tringa solitaria"
"Tryngites subruficollis"
"Vanellus chilensis"
