Amazonetta brasiliensis
Anas flavirostris
Anas georgica
Anas versicolor
Ardea cocoi
Aramus guarauna
Bubulcus ibis
Calidris alba
Calidris canutus
Calidris fuscicollis
Casmerodius albus
Charadrius semipalmatus
Charadrius collaris
Charadrius falklandicus
Chauna torquata
Ciconia maguari
Coscoroba coscoroba
Cygnus melancoryphus
Dendrocygna bicolor
Dendrocygna viduata
Egretta thula
Fulica leucoptera
Gallinula chloropus
Haematopus palliatus
Himantopus mexicanus
Jacana jacana
Larus maculipennis
Larus dominicanus
Mycteria americana
Netta peposaca
Nycticorax nycticorax
Phaetusa simplex
Phalacrocorax brasilianus
Phimosus infuscatus
Phoenicopterus chilensis
Platalea ajaja
Plegadis chihi
Pluvialis dominica
Podiceps major
Podilymbus podiceps
Rynchops niger
Rollandia rolland
Sterna hirundinacea
Sterna hirundo
Sterna sandvicensis
Sterna trudeaui
Sterna superciliaris
Sterna maxima
Syrigma sibilatrix
Tringa flavipes
Tringa melanoleuca
Vanellus chilensis
