phyl_name,tax_name
Amazonetta brasiliensis,Amazonetta brasiliensis
Anas flavirostris,Anas flavirostris
Anas georgica,Anas georgica
Anas versicolor,Anas versicolor
Ardea cocoi,Ardea cocoi
Aramus guarauna,Aramus guarauna
Bubulcus ibis,Bubulcus ibis
Calidris alba,Calidris alba
Calidris canutus,Calidris canutus
Calidris fuscicollis,Calidris fuscicollis
Casmerodius albus,Ardea alba
Charadrius semipalmatus,Charadrius semipalmatus
Charadrius collaris,Charadrius collaris
Charadrius falklandicus,Charadrius falklandicus
Chauna torquata,Chauna torquata
Ciconia maguari,Ciconia maguari
Coscoroba coscoroba,Coscoroba coscoroba
Cygnus melancoryphus,Cygnus melanocoryphus
Dendrocygna bicolor,Dendrocygna bicolor
Dendrocygna viduata,Dendrocygna viduata
Egretta thula,Egretta thula
Fulica leucoptera,Fulica leucoptera
Gallinula chloropus,Gallinula chloropus
Haematopus palliatus,Haematopus palliatus
Himantopus mexicanus,Himantopus mexicanus
Jacana jacana,Jacana jacana
Larus maculipennis,Larus dominicanus
Larus dominicanus,Chroicocephalus maculipennis
Mycteria americana,Mycteria americana
Netta peposaca,Netta peposaca
Nycticorax nycticorax,Nycticorax nycticorax
Phaetusa simplex,Phaetusa simplex
Phalacrocorax brasilianus,Phalacrocorax brasilianus
Phimosus infuscatus,Phimosus infuscatus
Phoenicopterus chilensis,Phoenicopterus chilensis
Platalea ajaja,Platalea ajaja
Plegadis chihi,Plegadis chihi
Pluvialis dominica,Pluvialis dominica
Podiceps major,Podiceps major
Podilymbus podiceps,Podilymbus podiceps
Rynchops niger,Rynchops niger
Rollandia rolland,Rollandia rolland
Sterna hirundinacea,Sterna hirundinacea
Sterna hirundo,Sterna hirundo
Sterna sandvicensis,Sterna sandvicensis
Sterna trudeaui,Sterna trudeaui
Sterna superciliaris,Sternula superciliaris
Sterna maxima,Thalasseus maximus
Syrigma sibilatrix,Syrigma sibilatrix
Tringa flavipes,Tringa flavipes
Tringa melanoleuca,Tringa melanoleuca
Vanellus chilensis,Vanellus chilensis
