Amazonetta brasiliensis
Anas flavirostris
Anas georgica
Anas versicolor
Aramus guarauna
Ardea alba
Ardea cocoi
Bubulcus ibis
Calidris alba
Calidris canutus
Calidris fuscicollis
Charadrius collaris
Charadrius falklandicus
Charadrius semipalmatus
Chauna torquata
Chroicocephalus maculipennis
Ciconia maguari
Coscoroba coscoroba
Cygnus melanocoryphus
Dendrocygna bicolor
Dendrocygna viduata
Egretta thula
Fulica leucoptera
Gallinula chloropus
Haematopus palliatus
Himantopus mexicanus
Jacana jacana
Larus dominicanus
Mycteria americana
Netta peposaca
Nycticorax nycticorax
Phalacrocorax brasilianus
Phimosus infuscatus
Phoenicopterus chilensis
Platalea ajaja
Plegadis chihi
Pluvialis dominica
Podiceps major
Podilymbus podiceps
Rollandia rolland
Rynchops niger
Sterna hirundinacea
Sterna hirundo
Sterna sandvicensis
Sterna trudeaui
Sternula superciliaris
Syrigma sibilatrix
Thalasseus maximus
Tringa flavipes
Tringa melanoleuca
Vanellus chilensis
