codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A878,26022016,17,28.7,29.8,28.5,76,76,69,24.0,24.2,23.1,1003.4,1003.9,1003.4,4.6,76,6.2,3180.,0.0
A878,26022016,22,26.9,27.5,26.9,87,87,83,24.4,24.5,24.2,1002.3,1002.3,1001.5,5.3,34,10.2,118.9,0.0
A878,26022016,23,26.8,27.0,26.8,88,88,86,24.7,24.7,24.4,1002.2,1002.5,1001.6,5.4,35,10.4,-3.28,0.0
A878,26022016,18,29.0,29.6,28.4,74,78,72,23.9,24.5,23.8,1002.7,1003.5,1002.7,6.0,60,7.7,2256.,0.0
A878,26022016,21,27.5,27.6,27.4,83,83,76,24.4,24.4,22.9,1001.8,1002.2,1001.7,6.3,41,10.7,219.8,0.0
A878,26022016,16,29.0,,,73,,,23.7,,,1003.9,,,4.2,90,,708.1,0.0
A878,26022016,19,28.1,29.8,28.1,75,76,70,23.2,24.5,23.0,1002.6,1002.8,1002.5,6.1,52,8.6,2035.,0.0
A878,26022016,20,27.5,28.1,27.5,78,78,74,23.3,23.7,22.9,1002.1,1002.6,1001.8,6.1,52,8.3,463.9,0.0
A878,27022016,01,26.8,27.0,26.2,85,85,83,24.1,24.2,23.1,1003.1,1003.7,1002.6,1.1,113,7.0,-2.77,0.0
A878,27022016,21,24.2,25.4,24.2,64,66,61,17.0,18.0,16.5,1009.4,1009.5,1009.0,6.7,174,9.2,778.0,0.0
A878,27022016,20,25.4,26.1,24.9,61,66,60,17.4,18.6,17.2,1009.0,1009.0,1008.4,6.9,179,10.0,1653.,0.0
A878,27022016,02,21.1,26.9,20.3,95,95,81,20.2,24.1,18.4,1003.8,1006.1,1003.1,5.6,309,27.0,7.975,46.6
A878,27022016,22,23.6,24.2,23.5,67,69,64,17.2,17.6,16.8,1009.6,1009.8,1009.4,6.7,164,8.6,137.9,0.0
A878,27022016,09,23.3,24.0,23.3,83,91,82,20.3,22.1,20.2,1003.9,1003.9,1003.3,5.6,242,10.0,-3.54,0.0
A878,27022016,03,23.1,23.2,21.1,92,95,92,21.7,22.0,20.3,1003.4,1003.9,1002.1,3.6,287,14.1,-1.23,1.8
A878,27022016,13,26.1,26.2,24.9,71,76,71,20.4,20.9,20.0,1007.7,1007.8,1006.7,6.3,242,10.4,1271.,0.0
A878,27022016,04,22.2,23.1,22.2,91,92,90,20.6,21.7,20.6,1002.3,1003.4,1002.2,2.5,273,6.5,-0.72,0.2
A878,27022016,12,25.0,25.1,24.5,75,80,75,20.2,21.3,20.2,1006.7,1006.7,1005.8,7.0,243,10.4,749.7,0.0
A878,27022016,05,22.1,22.2,22.0,92,92,90,20.7,20.7,20.4,1001.4,1002.5,1001.4,2.7,323,5.2,-3.42,0.0
A878,27022016,19,26.1,26.4,25.6,63,67,62,18.4,19.6,17.9,1008.5,1008.6,1008.4,7.5,183,11.0,2338.,0.0
A878,27022016,06,23.4,23.6,22.1,93,94,92,22.2,22.4,20.8,1001.7,1002.1,1001.4,2.1,325,5.0,-3.48,0.0
A878,27022016,11,24.9,25.0,23.3,80,84,80,21.2,21.4,20.4,1005.9,1005.9,1004.9,5.6,244,8.6,645.4,0.0
A878,27022016,07,23.6,23.7,23.3,93,93,92,22.3,22.4,22.1,1002.6,1002.6,1001.7,3.4,262,5.9,-2.81,0.0
A878,27022016,08,23.7,23.7,23.5,91,93,91,22.1,22.3,22.0,1003.3,1003.3,1002.6,3.6,275,6.9,-3.04,0.0
A878,27022016,23,23.5,23.6,23.4,66,68,65,16.6,17.3,16.5,1010.5,1010.5,1009.6,6.7,162,8.7,2.515,0.0
A878,27022016,18,26.3,26.7,25.9,63,71,63,18.7,20.7,18.7,1008.6,1008.6,1008.4,8.8,186,11.4,2843.,0.0
A878,27022016,10,23.4,23.5,23.2,84,84,83,20.4,20.4,20.3,1004.9,1004.9,1003.9,4.8,252,10.6,92.69,0.0
A878,27022016,17,26.2,26.6,25.6,68,71,67,19.7,20.7,19.4,1008.4,1008.5,1008.1,8.5,195,12.4,2272.,0.0
A878,27022016,16,25.8,26.4,25.3,71,74,67,20.1,20.5,19.3,1008.1,1008.2,1007.8,7.9,202,12.4,1695.,0.0
A878,27022016,15,25.5,27.7,25.3,72,73,62,20.1,20.3,19.4,1007.8,1008.0,1007.7,7.1,208,11.7,1912.,0.0
A878,27022016,14,27.3,27.6,26.0,63,71,63,19.7,21.0,19.2,1007.9,1007.9,1007.6,6.8,226,11.9,2826.,0.0
A878,27022016,00,26.4,26.9,25.9,84,88,84,23.4,24.7,22.9,1003.7,1003.7,1002.2,2.7,209,9.5,-2.59,0.0
A878,28022016,00,23.6,23.6,23.4,62,69,61,15.8,17.4,15.8,1011.1,1011.1,1010.5,6.4,153,8.7,-3.54,0.0
A878,28022016,22,23.5,24.5,23.4,52,56,50,13.1,14.6,13.1,1016.3,1016.3,1015.8,3.1,140,4.6,240.8,0.0
A878,28022016,23,23.5,23.6,23.3,53,56,50,13.3,14.1,12.5,1016.8,1016.8,1016.3,2.5,125,4.5,-3.16,0.0
A878,28022016,01,23.6,23.7,23.5,59,63,55,15.2,16.2,13.9,1011.8,1011.8,1011.1,5.8,148,8.6,-3.54,0.0
A878,28022016,02,23.1,23.6,23.1,63,65,58,15.8,16.4,15.0,1011.9,1011.9,1011.8,5.3,146,7.4,-3.54,0.0
A878,28022016,03,23.0,23.2,22.9,63,66,61,15.5,16.5,15.1,1012.1,1012.2,1011.8,4.8,149,7.0,-3.54,0.0
A878,28022016,04,22.8,23.0,22.7,61,64,61,15.0,15.6,14.9,1012.2,1012.3,1012.1,4.2,146,6.7,-3.54,0.0
A878,28022016,05,22.7,22.9,22.5,61,64,60,14.8,15.5,14.7,1012.4,1012.4,1012.1,3.8,151,5.5,-3.54,0.0
A878,28022016,06,22.6,22.8,22.5,61,65,60,14.7,15.5,14.6,1012.2,1012.5,1012.2,3.9,163,5.3,-3.54,0.0
A878,28022016,07,22.3,22.6,22.3,64,64,61,15.1,15.4,14.7,1012.3,1012.4,1012.2,3.1,165,5.1,-3.54,0.0
A878,28022016,08,22.5,22.5,20.3,62,73,61,14.8,15.6,14.5,1012.4,1012.5,1012.2,3.5,163,5.5,-3.54,0.0
A878,28022016,09,22.2,22.5,22.1,64,65,62,15.1,15.3,14.5,1012.9,1013.0,1012.4,3.6,172,5.7,-3.54,0.0
A878,28022016,10,22.7,22.7,22.1,62,65,60,15.0,15.5,14.5,1013.6,1013.6,1012.9,4.1,170,5.9,131.4,0.0
A878,28022016,11,24.0,24.0,22.5,59,63,57,15.3,15.3,14.5,1014.4,1014.4,1013.6,3.9,172,6.1,725.4,0.0
A878,28022016,12,24.8,25.0,23.9,53,59,52,14.5,15.5,14.0,1015.2,1015.2,1014.4,3.7,182,7.2,1515.,0.0
A878,28022016,13,26.2,26.2,24.3,47,55,47,13.9,15.3,13.5,1015.6,1015.7,1015.2,4.5,199,7.2,2280.,0.0
A878,28022016,14,26.2,26.7,25.6,46,51,45,13.6,15.4,13.2,1016.3,1016.3,1015.6,5.0,193,7.3,2988.,0.0
A878,28022016,15,26.4,26.9,26.0,48,49,45,14.5,15.1,13.2,1016.3,1016.4,1016.3,4.8,186,7.3,3248.,0.0
A878,28022016,16,26.4,27.1,26.0,46,50,45,13.8,15.4,13.7,1016.3,1016.3,1016.2,4.2,170,6.7,3491.,0.0
A878,28022016,17,26.7,27.3,26.2,47,49,43,14.6,15.2,13.1,1016.1,1016.3,1016.1,3.9,169,5.9,3453.,0.0
A878,28022016,18,26.1,26.8,25.7,49,52,45,14.7,15.2,13.4,1015.9,1016.1,1015.9,3.7,158,5.8,3126.,0.0
A878,28022016,19,25.7,26.5,25.5,50,51,46,14.5,15.1,13.4,1015.4,1015.9,1015.4,3.3,151,5.6,2585.,0.0
A878,28022016,20,25.2,25.8,25.0,51,54,48,14.3,15.0,13.7,1015.6,1015.7,1015.3,2.9,149,4.4,1865.,0.0
A878,28022016,21,24.5,25.3,24.4,54,55,51,14.6,15.1,13.9,1015.8,1015.8,1015.6,3.1,146,4.9,1026.,0.0
A878,29022016,10,20.6,20.6,18.4,87,91,87,18.4,18.4,16.8,1018.6,1018.6,1018.0,2.4,269,3.5,139.6,0.0
A878,29022016,08,18.2,19.1,18.2,87,87,83,16.0,16.3,15.9,1017.4,1017.4,1016.8,2.5,295,4.0,-3.54,0.0
A878,29022016,21,25.8,26.9,25.8,59,61,52,17.1,18.2,15.9,1018.2,1018.3,1018.1,4.5,51,6.1,972.3,0.0
A878,29022016,22,24.8,25.8,24.7,58,61,57,16.0,17.5,16.0,1018.3,1018.3,1018.2,3.9,44,6.6,220.2,0.0
A878,29022016,03,18.9,19.6,18.9,80,80,78,15.4,16.0,15.2,1017.2,1017.2,1017.1,2.7,346,4.4,-3.54,0.0
A878,29022016,00,20.6,23.5,20.6,64,64,51,13.6,14.1,12.9,1017.0,1017.0,1016.8,1.4,34,3.3,-3.54,0.0
A878,29022016,07,19.0,19.0,18.4,84,86,84,16.2,16.3,15.9,1016.8,1016.8,1016.6,3.1,324,4.7,-3.54,0.0
