Date,Flock,Video,Timestamp,local.time,notes
18/02/16,San2a,7032,23:31:00,18:11:00,
18/02/16,San2a,7033,23:33:00,18:13:00,
18/02/16,San2a,7034,23:35:00,18:15:00,
18/02/16,San2a,7035,23:36:00,18:16:00,
19/02/16,San2,7036,16:42:00,11:22:00,
19/02/16,San2,7037,16:43:00,11:23:00,
19/02/16,San2,7038,16:45:00,11:25:00,
19/02/16,San3,7041,16:50:00,11:30:00,
19/02/16,San3,7042,16:52:00,11:32:00,
19/02/16,San3,7043,16:53:00,11:33:00,
19/02/16,San3,7044,16:55:00,11:35:00,
19/02/16,San3,7047,16:59:00,11:39:00,
19/02/16,San4,7065,18:54:00,13:34:00,
19/02/16,San4,7071,19:03:00,13:43:00,
19/02/16,San4,7072,19:04:00,13:44:00,
19/02/16,San4,7076,19:26:00,14:06:00,
19/02/16,San5,7084,20:07:00,14:47:00,
20/02/16,San2,7104,16:44:00,11:24:00,
20/02/16,San3,7109,17:45:00,12:25:00,
20/02/16,San3,7110,17:46:00,12:26:00,
20/02/16,San3,7112,17:52:00,12:32:00,
20/02/16,San3,7113,17:53:00,12:33:00,
20/02/16,San3,7115,17:58:00,12:38:00,
20/02/16,San3,7116,17:59:00,12:39:00,
20/02/16,San3,7118,18:01:00,12:41:00,
20/02/16,San3,7120,18:07:00,12:47:00,
20/02/16,San3,7121,18:09:00,12:49:00,
22/02/16,Fus1,7128,15:30:00,10:10:00,
22/02/16,Fus1,7131,15:35:00,10:15:00,
22/02/16,Fus1,7132,15:40:00,10:20:00,
22/02/16,Fus3,7134,16:06:00,10:46:00,
22/02/16,Fus3,7135,16:08:00,10:48:00,
22/02/16,Fus6,7139,21:19:00,15:59:00,
22/02/16,Fus7,7141,21:35:00,16:15:00,
22/02/16,Fus7,7142,21:36:00,16:16:00,
22/02/16,Fus7,7143,21:37:00,16:17:00,
29/02/16,Fus6,7188,20:11:00,14:51:00,
29/02/16,Fus6,7190,20:14:00,14:54:00,
29/02/16,Fus6,7191,20:16:00,14:56:00,
29/02/16,Fus6,7192,20:19:00,14:59:00,
29/02/16,Fus6,7193,20:24:00,15:04:00,
29/02/16,Fus6,7194,20:26:00,15:06:00,
29/02/16,Fus6,7195,20:29:00,15:09:00,
29/02/16,Fus7,7196,20:49:00,15:29:00,
29/02/16,San2,7197,20:50:00,15:30:00,
29/02/16,Fus7,7198,20:55:00,15:35:00,
29/02/16,Fus7,7199,21:14:00,15:54:00,
29/02/16,Fus7,7200,21:17:00,15:57:00,
29/02/16,San2,7197,20:50:00,15:30:00,
01/03/16,Fus4,7213,21:51:00,16:31:00,
01/03/16,Fus4,7214,21:53:00,16:33:00,
01/03/16,Fus4,7215,21:54:00,16:34:00,
01/03/16,Fus4,7216,21:55:00,16:35:00,
01/03/16,Fus5,7248,22:37:00,17:17:00,
01/03/16,Fus6,7250,22:58:00,17:38:00,
01/03/16,Fus7,7251,23:05:00,17:45:00,
01/03/16,San15,7252,23:07:00,17:47:00,
01/03/16,Fus7,7257,23:15:00,17:55:00,
05/03/16,Fus1,7269,19:49:00,14:29:00,
05/03/16,Fus1,7271,19:51:00,14:31:00,
05/03/16,Fus1,7273,20:13:00,14:53:00,
05/03/16,Fus1,7274,20:14:00,14:54:00,
05/03/16,Fus2,7275,20:16:00,14:56:00,
05/03/16,Fus3,7276,20:18:00,14:58:00,
05/03/16,Fus3,7277,20:36:00,15:16:00,
05/03/16,Fus3,7278,20:37:00,15:17:00,
05/03/16,Fus4,7279,20:44:00,15:24:00,
05/03/16,Fus4,7281,20:46:00,15:26:00,
05/03/16,Fus4,7282,20:47:00,15:27:00,
05/03/16,Fus4,7283,20:51:00,15:31:00,
05/03/16,Fus4,7284,20:54:00,15:34:00,
06/03/16,Fus3,7299,17:44:00,12:24:00,
06/03/16,Fus3,7300,17:46:00,12:26:00,
06/03/16,Fus3,7301,17:48:00,12:28:00,
06/03/16,Fus4,7303,18:12:00,12:52:00,
06/03/16,Fus6,7304,18:55:00,13:35:00,
06/03/16,San5,7307,19:03:00,13:43:00,
06/03/16,Fus7,7308,19:05:00,13:45:00,
