temp,diff,flockid,flockwatched,videocode,flockno,vidno,watched(_No_Means_BAD_),obs,plum_photos,where
2,8,18/02/16-San2a,y,7035,1,4,no,,,
2,9,18/02/16-San2a,y,7034,1,3,yes,1,yes,shore
2,11,18/02/16-San2a,y,7033,1,2,,,,
2,13,18/02/16-San2a,y,7032,1,1,,,,
4,14,19/02/16-San3,y,7047,3,5,yes,2,yes,shore
10,5,20/02/16-San2,y,7104,6,1,yes,2,yes,sand
11,15,20/02/16-San3,y,7109,7,1,yes,1,yes,shore
29,10,22/02/16-Fus3,y,7134,9,1,yes,2,no,sand
29,12,22/02/16-Fus3,,7135,9,2,,,,
35,9,22/02/16-Fus7,,7143,11,3,yes,,,
35,10,22/02/16-Fus7,,7142,11,2,,,,
35,11,22/02/16-Fus7,,7141,11,1,,,,
58,9,01/03/16-Fus4,,7216,15,4,,,,
58,10,01/03/16-Fus4,,7215,15,3,,,,
58,11,01/03/16-Fus4,,7214,15,2,,,,
58,13,01/03/16-Fus4,,7213,15,1,,,,
63,13,06/03/16-Fus6,,7304,26,1,,,,
64,5,06/03/16-Fus7,,7313,28,5,,,,
64,7,06/03/16-Fus7,,7312,28,4,,,,
64,7,06/03/16-Fus7,,7314,28,6,,,,
64,8,06/03/16-Fus7,,7311,28,3,,,,
64,12,06/03/16-Fus7,,7309,28,2,,,,
66,15,07/03/16-Fus1,,7323,32,1,,,,
67,8,07/03/16-San1,,7330,33,5,,,,
67,9,07/03/16-San1,,7329,33,4,,,,
67,11,07/03/16-San1,,7333,33,6,,,,
68,12,07/03/16-San1,,7365,33,26,,,,
67,13,07/03/16-San1,,7334,33,7,,,,
68,14,07/03/16-San1,,7364,33,25,,,,
74,4,08/03/16-San1,,7420,34,11,,,,
73,5,08/03/16-San1,,7412,34,5,,,,
74,5,08/03/16-San1,,7419,34,10,,,,
74,5,08/03/16-San1,,7421,34,12,,,,
73,6,08/03/16-San1,,7411,34,4,,,,
75,6,08/03/16-San1,,7435,34,20,,,,
73,8,08/03/16-San1,,7413,34,6,,,,
74,8,08/03/16-San1,,7418,34,9,,,,
74,9,08/03/16-San1,,7417,34,8,,,,
74,10,08/03/16-San1,,7423,34,13,,,,
75,10,08/03/16-San1,,7434,34,19,,,,
74,11,08/03/16-San1,,7414,34,7,,,,
74,11,08/03/16-San1,,7424,34,14,,,,
75,11,08/03/16-San1,,7427,34,17,,,,
75,11,08/03/16-San1,,7433,34,18,,,,
73,12,08/03/16-San1,,7409,34,3,,,,
73,14,08/03/16-San1,,7407,34,2,,,,
76,6,08/03/16-San2,,7446,35,8,,,,
76,7,08/03/16-San2,,7444,35,7,,,,
76,7,08/03/16-San2,,7447,35,9,,,,
76,10,08/03/16-San2,,7450,35,10,,,,
76,12,08/03/16-San2,,7442,35,6,,,,
76,13,08/03/16-San2,,7441,35,5,,,,
78,5,09/03/16-Fus1,,7458,36,8,,,,
78,7,09/03/16-Fus1,,7457,36,7,,,,
78,8,09/03/16-Fus1,,7456,36,6,,,,
78,9,09/03/16-Fus1,,7455,36,5,,,,
78,10,09/03/16-Fus1,,7459,36,9,,,,
78,11,09/03/16-Fus1,,7460,36,10,,,,
80,11,09/03/16-Fus1,,7474,36,23,,,,
78,12,09/03/16-Fus1,,7454,36,4,,,,
78,13,09/03/16-Fus1,,7453,36,3,,,,
78,13,09/03/16-Fus1,,7461,36,11,,,,
78,14,09/03/16-Fus1,,7452,36,2,,,,
81,6,09/03/16-Fus2,,7478,37,13,,,,
79,10,09/03/16-Fus2,,7467,37,6,,,,
79,11,09/03/16-Fus2,,7466,37,5,,,,
79,14,09/03/16-Fus2,,7465,37,4,,,,
79,15,09/03/16-Fus2,,7464,37,3,,,,
82,8,10/03/16-Fus1,,7479,38,1,,,,
82,13,10/03/16-Fus1,,7482,38,2,,,,
83,4,10/03/16-Fus2,,7504,39,9,,,,
83,6,10/03/16-Fus2,,7506,39,10,,,,
83,7,10/03/16-Fus2,,7507,39,11,,,,
83,9,10/03/16-Fus2,,7508,39,12,,,,
83,11,10/03/16-Fus2,,7509,39,13,,,,
83,12,10/03/16-Fus2,,7510,39,14,,,,
83,13,10/03/16-Fus2,,7499,39,6,,,,
83,13,10/03/16-Fus2,,7511,39,15,,,,
83,6,10/03/16-San1,,7503,40,2,,,,
83,10,10/03/16-San1,,7500,40,1,,,,
86,8,12/03/16-San3,,7564,44,20,,,,
86,10,12/03/16-San3,,7563,44,19,,,,
86,15,12/03/16-San3,,7562,44,18,,,,
87,6,13/03/16-Fus3,,7579,47,4,,,,
87,7,13/03/16-Fus3,,7578,47,3,,,,
87,10,13/03/16-Fus3,,7577,47,2,,,,
87,12,13/03/16-Fus3,,7576,47,1,,,,
88,6,13/03/16-Fus7,,7607,51,1,,,,
88,7,13/03/16-Fus7,,7608,51,2,,,,
88,8,13/03/16-Fus7,,7609,51,3,,,,
88,8,13/03/16-San8,,7605,53,1,,,,
92,9,16/03/16-Fus2,,7646,55,2,,,,
92,12,16/03/16-Fus2,,7640,55,1,,,,
94,8,16/03/16-Fus10,,7693,57,15,,,,
94,9,16/03/16-Fus10,,7694,57,16,,,,
96,12,16/03/16-Fus12,,7700,58,2,,,,
98,3,16/03/16-Fus14,,7720,59,4,,,,
98,4,16/03/16-Fus14,,7719,59,3,,,,
98,9,16/03/16-Fus14,,7718,59,2,,,,
93,14,16/03/16-San3,,7661,61,4,,,,
92,15,16/03/16-San3,,7655,61,1,,,,
